Unnamed: 0,fid,AGRI_AREA,AGRI_AREA_SURR,AGRI_AREA_BLOCK,BUILT_AREA,BUILT_AREA_SURR,BUILT_AREA_BLOCK,NAT_AREA,NAT_AREA_SURR,NAT_AREA_BLOCK,URBAN_AREA,URBAN_AREA_SURR,URBAN_AREA_BLOCK,INDUSTRIAL_AREA,INDUSTRIAL_AREA_SURR,INDUSTRIAL_AREA_BLOCK,SIARL_2,SIARL_2_SURR,SIARL_2_BLOCK,SIARL_9,SIARL_9_SURR,SIARL_9_BLOCK,SIARL_12,SIARL_12_SURR,SIARL_12_BLOCK,ROADS,ROADS_SURR,ROADS_BLOCK,FARMS,FARMS_SURR,FARMS_BLOCK
577,578,0.611350295,0.86090192762,0.834536397715,0.192734852,0.091023906034,0.101752740427,0.077255841,0.022501339685,0.028297896322,0.12389757,0.051773262153,0.059392743495,0.068837282,0.039250643881,0.042359996932,0.082535601,0.159551256438,0.151407513579,0.137143987,0.252576235994,0.240412034979,0.0,0.0,0.0,1.301588926,1.2084794055630002,1.218115894501,0.147383084,0.55108468522,0.5084285618640001
578,579,0.909632162,0.8545784174059999,0.860689149357,0.063148028,0.092214564194,0.0885801918479999,0.014319005,0.02486797581,0.023547327883,0.035496258,0.0526480306359999,0.050512094461,0.02765177,0.039566533558,0.038068097387,0.15897326,0.135633065717,0.138405720777,0.238915385,0.280747511887,0.2752360120759999,0.0,0.0,0.0,0.868278605,1.371126438527,1.3074321100949997,0.586061708,0.491368940622,0.5026871524719999
579,580,0.88040588,0.891637077625,0.889498777611,0.06775561,0.07574150425,0.074779328484,0.024688404,0.01614846425,0.017080249098,0.032228856,0.04309638675,0.04184699445,0.035526754,0.0326451175,0.032932334034,0.139591267,0.12014816375,0.122186200047,0.253811082,0.328541174125,0.319917592725,0.0,0.0,0.0,1.064543708,1.337358915,1.305739068108,0.452735077,0.7401437814999998,0.7075012715189999
580,581,0.844375992,0.8810615557500001,0.876108396618,0.1055628489999999,0.08570812875,0.087826294569,0.029796824,0.0152441191249999,0.016844225247,0.05914389,0.0455102285,0.046978054698,0.046418959,0.04019790025,0.040848239871,0.071623421,0.1053016069999999,0.101458026747,0.358987026,0.369084819375,0.367594879491,0.0,0.0,0.0,1.299909606,1.432359103375,1.416224850063,0.8015032259999999,1.2345469811249998,1.185244577325
581,582,0.804469861,0.8644939806249999,0.856966809366,0.156797932,0.10365348425,0.109448864466,0.016080616,0.01504475275,0.015144688818,0.07854099,0.053398235875,0.056135683347,0.078256942,0.050255248375,0.053313181119,0.061494451,0.090897859875,0.08754318363,0.374042846,0.4111460088749999,0.406616411787,0.0,0.0,0.0,1.24938271,1.6284199221250002,1.584718371657,1.020565745,2.082077289875,1.962167431104
582,583,0.841403397,0.816073153,0.8180687369309999,0.1114850509999999,0.15446275325,0.149537765547,0.026669512,0.0122524338749999,0.0138404771129999,0.05375962,0.072280904375,0.070152760905,0.057725431,0.082181848875,0.079385004642,0.074982775,0.068881814,0.0694901388569999,0.435965894,0.4353348402499999,0.434969552376,0.0,0.0,0.0,2.042844783,1.768931956625,1.797567348396,2.217779195,2.5232027678749995,2.4867775485180004
583,584,0.803303131,0.762220722875,0.766018649454,0.147935824,0.1973651434999999,0.191681123892,0.0306405,0.01937468,0.02060581134,0.065137512,0.081906057875,0.079962843225,0.082798312,0.115459085625,0.111718280667,0.060552179,0.0406847755,0.042849372513,0.424641148,0.411549182875,0.412590841821,0.0,0.0,0.0,1.734924658,2.1475527216250003,2.099603453841,1.855415954,2.6505922935,2.559677127522
584,585,0.697212692,0.692304088,0.692156638956,0.240408754,0.22843837325,0.22953864714,0.029688825,0.055196435625,0.0523098944099999,0.146158962,0.091245926125,0.097250027181,0.094249792,0.1371924471249999,0.132288619959,0.016079079,0.032683141875,0.030807407754,0.336376488,0.327863252875,0.328480358721,0.0,0.0,0.0,2.9136641240000003,2.13647213025,2.2206039694260005,1.814430686,2.5987115913750003,2.509057699287
585,586,0.681622142,0.503736768625,0.522978308301,0.255468615,0.2191547398749999,0.222966425274,0.040384432,0.254847570375,0.230787314445,0.133799547,0.0937294605,0.0980835106409999,0.121669068,0.1254252793749999,0.124882914633,0.018807999,0.02114866475,0.0208677021869999,0.270463556,0.1816516771249999,0.191328144003,0.0,0.0,0.0,2.73200725,2.0417500910000004,2.116326885558,2.925686292,2.387549951875,2.4448955356770004
586,587,0.192901619,0.36009434875,0.341175861399,0.212006894,0.1641041935,0.169257289062,0.585490178,0.4580017383749999,0.471694953435,0.095838868,0.0818045236249999,0.083280531327,0.116168026,0.082299669875,0.085976757735,0.000670502,0.0157656415,0.014074315374,0.018319851,0.080989140625,0.073951860336,0.0,0.0,0.0,1.681947944,1.7311739328750002,1.723978674177,1.776039135,2.1322426405000003,2.0905718087490004
