fid,quadkey_L4,pop,dusaf,rete_fer,autostrad,strade_pri,strade_sec,h_mean,st_ferrov,st_metro,int_prim,int_prim_s,int_sec,scn,dsf11,dsf12,dsf13,dsf14,dsf2,dsf3,dsf4,dsf5,dsfSum,lat,lon,mov_tot,FBpop_tot
"218","120221321230",52611.9261201821,2,16534.3048154049,1788.77029924739,28476.5707737661,94022.5136375003,251.19517786775,3,0,10,59,113,134581,401216,159073,7421,82456,798677,285265,0,1068,1735176,45.6668525579963,9.3603515625,22743.1428571429,9292.25938098873
"219","120221321231",50861.740055887,2,7944.38404722678,0,20675.0920334032,79777.8805495373,244.288444679934,4,0,8,50,81,135000,363401,199583,29022,73177,817587,232749,376,20382,1736277,45.6668525579962,9.4482421875,23169.0317460317,8753.35033719526
"220","120221321232",69434.7543726809,2,4861.13875672217,16707.4035861155,34238.0813201409,87269.1137113088,185.626377043355,3,0,13,58,122,169262,383491,316858,12176,84320,829886,109691,187,143,1736752,45.6054413455505,9.3603515625,30378.1111111111,13189.3060817638
"221","120221321233",56234.1424107952,2,0,14219.930102724,41228.2616447803,61599.8678937088,195.609066619166,0,0,11,68,67,144025,298571,290234,4936,50246,935624,157013,0,1230,1737854,45.6054413455505,9.4482421875,24538.5317460317,9874.45970925193
"222","120221321300",11403.4312187321,3,0,0,56710.6307189418,48887.4792173386,751.608582620899,0,0,0,30,17,46553,175203,17903,26701,7496,307234,1202077,0,1240,1737854,45.7896749828877,9.5361328125,3191.35714285714,1736.09650395478
"223","120221321301",13320.818969205,3,0,0,22796.5575053808,29419.511078985,595.32028365738,0,0,0,14,13,34772,107293,34327,14583,6732,222869,1342217,0,9833,1737854,45.7896749828877,9.6240234375,4282.11111111111,2159.77481873339
"224","120221321302",31669.9909324273,3,9647.00219962865,0,29894.5691639675,65553.6231890736,347.773960068248,4,0,4,46,63,88143,300900,121951,6668,42453,510786,753362,0,1734,1737854,45.728263770442,9.5361328125,9794.5,5152.66573928375
"225","120221321303",75668.0897897899,11,1958.99268244934,0,28275.263500792,59696.2492125954,313.771734228158,1,0,2,31,36,140622,508508,161020,9745,75552,470066,498771,0,14192,1737854,45.728263770442,9.6240234375,22856.1984126984,9656.75742876233
"226","120221321310",7739.89218230918,3,0,0,25433.4311229932,48759.9621468883,706.161762164268,0,0,0,8,24,30851,104481,11630,4977,6971,297135,1305815,0,5743,1736752,45.7896749828877,9.71191406249999,2943.19841269841,1658.17006560397
"227","120221321311",26038.2213332718,3,0,0,28083.6173584029,33699.8046765321,710.228382717902,0,0,3,20,35,64139,195337,64918,701,18961,348081,1100219,0,9637,1737854,45.7896749828877,9.79980468750001,6151.97619047619,2504.24518170732
"228","120221321312",81135.5349546635,3,0,0,21851.605414962,64018.5849720596,385.829326722634,0,0,9,29,56,144239,450933,181340,9877,77182,324883,684068,496,7973,1736752,45.728263770442,9.7119140625,24168.246031746,9987.63982479951
"229","120221321313",31446.6029360015,3,0,0,27009.1498612071,53080.6628574172,455.195069681812,0,0,1,38,51,68989,224027,63590,9072,20897,472623,941093,0,6552,1737854,45.728263770442,9.7998046875,10279.3412698413,4968.70525074505
"230","120221321320",52617.693839238,2,7364.63840590913,0,46246.7680432407,47280.4647598196,221.563381302254,3,0,3,52,41,139387,336411,244802,8252,49529,850392,236952,262,9677,1736277,45.6668525579962,9.5361328125,22993.3095238095,9291.02642163605
"231","120221321321",103258.150844803,2,11589.6339988345,12181.4689092086,43005.1844372925,89191.2320541,218.452772689902,2,0,18,62,114,236959,531501,430282,14182,102107,577691,73891,394,6229,1736277,45.6668525579962,9.6240234375,57452.4841269841,18877.4642014066
"232","120221321322",48768.2794122007,2,0,15127.665405497,43176.3866587855,57685.6264919294,175.740378464819,0,0,13,44,43,158002,314536,275910,44090,70740,743599,226258,0,62721,1737854,45.6054413455505,9.5361328125,24145.1031746032,9919.34028606261
"233","120221321323",59473.9731102022,2,9366.12048017325,5131.11529978442,34135.0761899222,62345.9822690594,172.656261132882,6,0,6,46,71,169358,333766,322322,4349,60717,996165,18068,0,2467,1737854,45.6054413455505,9.6240234375,29441.9523809524,10865.9584491275
"234","120221321330",79312.4373536084,2,7783.88006912078,14150.4255438199,51899.2298526248,89971.4129658676,232.089784653227,3,0,15,69,126,224451,394812,533495,35055,58086,628853,75104,0,9771,1735176,45.6668525579962,9.7119140625,51648.4920634921,17169.6558521249
"235","120221321331",48860.3704518155,2,8900.10328231495,13881.4047592589,38605.1466565937,56016.7082244411,236.698791715832,4,0,9,48,65,176477,358389,300883,18645,60974,823198,167900,0,6288,1736277,45.6668525579963,9.7998046875,22143.873015873,8146.58531249503
"236","120221321332",30040.8422482479,2,0,0,21587.9451943815,53197.4524642757,177.62855366027,0,0,4,36,41,98070,219697,141028,8531,46540,1156720,154220,146,9870,1736752,45.6054413455505,9.7119140625,10776.6507936508,5542.42550712012
"237","120221321333",26963.9475887679,2,0,428.85289450983,31715.1951598518,61648.7921570732,174.766040256502,0,0,10,47,59,136049,222991,218021,34518,41295,1155659,54553,0,10817,1737854,45.6054413455505,9.7998046875,11397.6111111111,5089.00590303873
"238","120221322010",7069.3066499097,3,0,0,0,0,178.974512832599,0,0,0,0,0,57586,0,0,0,0,0,1959,0,0,1959,45.5440301331048,8.6572265625,5647.29365079365,2519.04726774327
"239","120221322011",26261.6504479767,3,8506.0876757673,0,32087.9144450956,61066.177650368,162.856024852638,2,0,5,35,71,97821,223119,170211,21964,37389,502210,536864,5026,65806,1562589,45.5440301331048,8.7451171875,12476.7222222222,4728.29360458163
"240","120221322013",10778.4673411716,3,606.463619358247,0,1473.93622270691,3349.98550779095,137.794008241868,1,0,0,1,2,65814,8417,3257,4395,1596,148866,213980,874,24069,405454,45.482618920659,8.7451171875,4648.03968253968,3443.81701480529
"241","120221322023",3047.98845760571,2,0,0,10468.3917185463,12471.142743388,129.284326701493,0,0,0,26,46,26131,25424,5846,0,4378,526418,11740,0,2593,576399,45.3597964957675,8.5693359375,980.349206349206,789.767499923687
"242","120221322032",5318.76242189284,2,0,0,2014.55609069353,2396.59125172854,126.560419674121,0,0,0,3,1,23659,1890,379,0,0,155692,4662,248,2783,165654,45.3597964957675,8.6572265625,2130.45238095238,1271.35252280664
"243","120221322033",1975.43088847771,2,0,0,5685.40077135336,17146.9049656749,120.575249259185,0,0,0,9,6,20864,20585,3732,2985,10058,738657,19937,0,4463,800417,45.3597964957676,8.7451171875,755.97619047619,1247.01996432478
"244","120221322100",24612.4901284041,2,0,0,54651.0140064394,39478.9590887582,178.381146777185,0,0,8,63,32,104392,235797,176570,11376,20774,1021735,263210,0,8392,1737854,45.5440301331048,8.83300781250001,14877.5952380952,8348.27856906054
"245","120221322101",63728.1006424548,2,5020.40175138958,0,33615.7386940747,68392.0800731025,177.461544590216,2,0,7,50,71,167034,445637,205519,23197,64333,855612,131847,2078,9631,1737854,45.5440301331048,8.9208984375,38155.6904761905,15148.5626402079
"246","120221322102",35334.9961468646,2,13195.0308085728,14486.9499165813,58271.1720834156,48726.2016440303,140.523623155484,3,0,3,65,46,116491,287888,230632,4415,57572,890779,192872,493,28289,1692940,45.482618920659,8.8330078125,15808.3650793651,6172.52373613548
"247","120221322103",62651.8921242729,2,17378.3860171441,13964.8010550545,50825.3119052426,77372.9207061246,144.57525539562,8,0,10,61,85,164996,387632,319494,17969,86386,831186,83532,0,11655,1737854,45.482618920659,8.9208984375,34662.253968254,11905.3852399158
"248","120221322110",99287.6708654284,2,15082.4146182392,9042.25760573296,34713.3381771674,92887.7975571446,165.771505400201,10,0,16,62,116,205561,463073,363620,39272,138599,580916,128808,1670,20794,1736752,45.5440301331048,9.0087890625,53006.6746031746,19685.1344142519
"249","120221322111",122608.035663787,12,19724.3451738135,54040.1169022814,16432.6669815886,98055.2996799629,155.978718507109,7,1,10,28,108,234971,419438,562455,31210,174540,393215,146645,1363,8988,1737854,45.5440301331048,9.0966796875,70646.8809523809,30904.6801640459
"250","120221322112",58673.9811738096,2,11090.7695561865,13855.6391886237,26203.2753188914,66639.1599028,139.183367204764,1,0,10,55,96,133530,282006,236959,16799,87040,961622,121473,2067,28786,1736752,45.482618920659,9.0087890625,36489.5555555556,15878.7272932208
"251","120221322113",207630.251068012,12,5031.36233567442,29320.4112574209,5814.95516813272,126659.8653708,131.323206033888,3,14,6,15,189,225245,395502,514436,17607,344569,357686,91195,0,16859,1737854,45.482618920659,9.0966796875,114302.801587302,49013.9708912554
"252","120221322120",2817.02560477424,2,629.500320114685,0,1817.14251381029,20891.1325398311,111.103073949376,0,0,0,1,12,38252,36966,16844,3,3848,677168,293271,332,18035,1046467,45.4212077082133,8.8330078125,1965.80158730159,2557.11167241047
"253","120221322121",43334.2396580947,2,4685.23451957531,0,33538.7335480826,57514.3638995257,122.8677594172,2,0,1,52,56,96696,238601,144083,5076,44522,1197422,85094,1049,20430,1736277,45.4212077082133,8.9208984375,17801.4206349206,6933.56927224539
"254","120221322122",8139.89823117969,2,1159.21651390101,0,10441.4230017332,45488.5334050819,106.84003612116,0,0,1,14,34,46307,99566,56623,1369,22803,993512,446772,0,41195,1661840,45.3597964957676,8.8330078125,3433.04761904762,3115.98558229879
"255","120221322123",7749.45129394135,2,6659.95103232596,0,19774.6365299732,35277.2921335321,98.565995644553,0,0,6,27,25,49503,72825,67617,11550,21886,1225473,318564,4881,15058,1737854,45.3597964957675,8.9208984375,8286.87301587302,3895.85961027162
"256","120221322130",21896.0455597616,2,7024.76932883479,0,37554.547581284,59670.4618067698,120.373022800143,1,0,8,58,56,68849,149858,123314,3764,39037,1353923,56432,2126,6722,1735176,45.4212077082133,9.0087890625,9525.83333333333,7683.09021223822
"257","120221322131",145476.957041833,2,10486.2474633064,18908.2815261522,21222.1751525966,94318.6677379405,113.715138592751,7,3,8,25,82,179539,330454,408358,25940,169938,665343,70452,1398,64394,1736277,45.4212077082133,9.0966796875,112920.293650794,41410.7290754881
"258","120221322132",13794.3239164798,2,0,0,32816.7424481869,46202.5491270768,108.50616341708,0,0,5,51,40,49327,116989,67405,1098,40075,1457628,48397,2459,2701,1736752,45.3597964957676,9.0087890625,7671.49206349206,3797.28776795068
"259","120221322133",16201.1314459066,2,0,15637.5958281092,33266.8023063731,56154.7595741251,103.309635098529,0,0,7,43,40,61211,103572,137137,3115,26467,1376710,69317,674,20862,1737854,45.3597964957676,9.0966796875,6010.30952380952,7543.24584655085
"260","120221322200",4037.86051554466,2,126.497245762741,0,1469.94502514344,0,118.059646571315,1,0,0,0,0,32882,1431,283,0,241,168984,10884,0,11652,193475,45.2983852833218,8.4814453125,1924.19841269841,1902.12225904469
"261","120221322201",8477.13136757578,2,7384.14349288734,0,25372.1385186452,37927.3025020772,118.916701216721,2,0,0,34,37,57358,98750,52071,3608,12944,1417082,42542,580,32851,1660428,45.2983852833218,8.5693359375,4103.6746031746,1145.06729339308
"262","120221322202",3476.99619048182,2,0,0,0,0,114.853380819034,0,0,0,0,0,29571,0,0,0,0,7994,110,0,0,8104,45.2369740708761,8.4814453125,1768.42063492063,778.075036592899
"263","120221322203",1021.13503973308,2,0,0,25462.1188508214,29876.616847127,108.43211087841,0,0,0,28,9,32276,41481,8121,1328,4758,1371708,76629,8626,31172,1543823,45.2369740708761,8.5693359375,472.595238095238,429.345821844517
