fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
325,9.603,46.035,0.2434607706677254,0.02448857351382021,0.9271792179074556,0.008357835679148178,0.17580965646418756
326,9.603,46.101,0.3176035541795147,0.05904615971984697,0.8644573959824118,0.03635152110079986,0.2604077530561986
327,9.603,46.167,0.5263982105010422,0.059272042663866174,0.8687185292719618,0.02289393127863405,0.20781366770053633
328,9.603,46.233,0.2782367444985689,0.05713930902882692,0.8806819159076222,0.04060928367096496,0.22598136195254842
329,9.603,46.299,0.1263010689281822,0.00474486092006429,0.9870961955134951,0.0018027771316552076,0.025847674256288363
330,9.669,45.045,1.0379934569705045,0.15561961996914228,0.05825624197316405,0.1728640088393008,0.44518412528014056
331,9.669,45.111,1.243003848180941,0.21372499375905143,0.041536120201424165,0.22130903765009796,0.47716411523879576
332,9.669,45.177,1.363463451402405,0.18399963320757165,0.049854775170023805,0.17039655270766138,0.43441136298988664
333,9.669,45.243,1.482274675914283,0.18037366509737507,0.05059824542023419,0.18666513162500728,0.45329236990719185
334,9.669,45.309,1.5749464593401927,0.20098055247493754,0.04895594687897997,0.19325971319879287,0.456247142465664
335,9.669,45.375,1.677982378669646,0.20985602904626052,0.0305635469378145,0.18067779531424832,0.45370856981439567
336,9.669,45.441,1.7687401990665823,0.28910911154729024,0.02310015421117274,0.2881314066121644,0.5734847605676624
337,9.669,45.507,1.791823789126283,0.30565206266743683,0.03009336019246042,0.28585680876638686,0.4978458179485336
338,9.669,45.573,1.7272746385177329,0.440861072297122,0.04171135115658335,0.4720284437643582,0.6462120383340545
339,9.669,45.639,1.5568650434532727,0.5677390881409924,0.08169359894382024,0.4885693089509175,0.6549555013633004
340,9.669,45.705,1.2375156790256765,0.5122838356452335,0.2976420948952569,0.40460487430943404,0.6337367590070406
341,9.669,45.771,0.981387039373214,0.3552241644065315,0.5480674349414503,0.23633297481696663,0.5514471076177375
342,9.669,45.837,0.5541971828210648,0.11094521223447022,0.7796765845499898,0.03863455664921472,0.3293639695684472
343,9.669,45.903,0.3761659199078654,0.056730429251212355,0.850406633454371,0.015269199121586932,0.25330569850516677
344,9.669,45.969,0.288914426508907,0.03279980787918673,0.9017625313771044,0.011447390877839326,0.16479347594014723
345,9.669,46.035,0.2080223190868803,0.02351256584959386,0.9312069702666422,0.009049455437957874,0.1646081351910865
346,9.669,46.101,0.2797284243071805,0.05179085286639699,0.8651948097603466,0.03783959238570267,0.26856691915190395
347,9.669,46.167,0.4873970019280672,0.049324122290206836,0.8737986120628325,0.02743940447558554,0.1899511350170283
