fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
357,9.735,45.507,0.957736452187548,0.8520744820576388,0.25796810372725143,0.03351898088068755,0.23852655817718463,0.2515213019119486,0.21311396630418294,0.6605505354887887,0.5183201323870084
358,9.735,45.573,0.8614169932734599,0.757467570071653,0.36849716742270644,0.038597935899052145,0.3235297008198896,0.3765467394741267,0.269655449744029,0.4968566758535763,0.6099257738644525
359,9.735,45.639,0.6586717046977603,0.5886065189763229,0.4778382494805044,0.11167705870852901,0.4996343824746578,0.4076865526423171,0.19925086794644606,0.29102554524032004,0.6189346032634748
360,9.735,45.705,0.4721838735754304,0.38442532799275164,0.44984901921007897,0.3179889969138931,0.4977044043150622,0.35631891981457925,0.10163334158775868,0.1115928563503843,0.5996255568586979
361,9.735,45.771,0.2517359045889413,0.2062886312184103,0.3129731237497992,0.5801094018140384,0.41125619635281235,0.18256629496443574,0.015843511269010974,0.006176136763266055,0.46522699257740724
362,9.735,45.837,0.0844164594728905,0.15921991405499542,0.1103545140160195,0.7729661420048328,0.16439700314882977,0.044928361295413666,0.0,5.139407946369802e-05,0.3104398827138064
363,9.735,45.903,0.0170843786652612,0.11042436808714667,0.048930493359307985,0.8596734079685165,0.0774665797387487,0.015367349254023346,0.0,3.701234354740827e-05,0.2230363142935361
364,9.735,45.969,0.0097630267809099,0.07831696499923514,0.0334765308852739,0.8974584636099461,0.050881081711874304,0.012671194236596012,0.0,0.0,0.16687743051149626
365,9.735,46.035,0.0082510455729795,0.04027927791452998,0.0177037723484316,0.9436965801597961,0.027233165162927363,0.006413460650337582,0.0,0.0,0.10479211842412502
366,9.735,46.101,0.0086877798221574,0.10608772389715054,0.043492430325511554,0.864664821986341,0.052033358938805806,0.03058873605589441,0.0003006886336847904,0.008026591767640676,0.20492226193767527
367,9.735,46.167,0.0083593040198684,0.09820003602477274,0.03929113184025369,0.8773601712394639,0.04646257185876031,0.02818956018700465,0.00014769584411865764,0.008026591767640676,0.17179814126299037
368,9.735,46.233,0.0045516967487055,0.0984849438633483,0.043225089205084125,0.8741394646209156,0.049595050469046435,0.03253181929606685,0.00033196025158800863,0.008749708143103628,0.18109931851783376
369,9.735,46.299,0.0020329322359901,0.013737161558450643,0.003884910489448322,0.9828634229847415,0.004426297739753075,0.003031281426154527,0.0,0.0,0.013931337674299143
370,9.735,46.365,0.0006027130242078,0.009655690785159682,0.004064501645871852,0.9865286071764608,0.0020706007316803115,0.0057425134770381,0.0,0.0,0.01792740157185024
371,9.801,45.045,0.5249603698111394,0.8914887802796898,0.11724307501756406,0.04936886001607341,0.12415165857194788,0.09852410329352589,0.32934975732519906,0.5958365713293275,0.3538431094748915
372,9.801,45.111,0.624479984376634,0.8918399797860143,0.1405011654430134,0.050386639539929994,0.13757715355155642,0.12931943072504123,0.2257920151680627,0.6687129379455395,0.3888743501641217
373,9.801,45.177,0.7036401009439391,0.9187324583138271,0.1293911617070534,0.04890929550386225,0.12126023934306841,0.1245694785583068,0.20202057152912853,0.7083918982324601,0.3799992982344312
374,9.801,45.243,0.7755961916264368,0.9219791085563712,0.14645791733263802,0.04262917577212964,0.13075056225891146,0.14753040385080612,0.1526217833422547,0.7507677668430157,0.39538209912071787
375,9.801,45.309,0.8337113877117845,0.9235233886665728,0.15018489427260528,0.041966471127840015,0.13809944545372835,0.14723790719759905,0.1126706872352061,0.7663834469961882,0.39339559357142184
376,9.801,45.375,0.8946295167709369,0.9186990573533377,0.16082937858267135,0.04254715539631028,0.14724495062913195,0.1583136811006182,0.09611510667767256,0.8175283477464672,0.4118003172330394
377,9.801,45.441,0.9881248703328792,0.877690804156195,0.2039576366077122,0.04689896315550382,0.17916655066648804,0.20835202056341917,0.14082411442515577,0.8041039093734412,0.4860348336392105
378,9.801,45.507,0.9409959565616756,0.8350558901063396,0.2532258177524898,0.048560639436106744,0.2327308551145018,0.248317957464519,0.18222728631036839,0.7481325589827997,0.5192942124716838
379,9.801,45.573,0.8044833803276986,0.7289345165222075,0.35704905322127406,0.07054737839847865,0.320281008159522,0.35800979723659043,0.20475870970621393,0.5270804608248277,0.600024183294026
