fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
561,0.4827586206896552,3.0,1.2193900386334833,3.0,0.5886710531334057,3.0,19.0,0.0,16.0,0.0,18.0,0.0
562,0.3620689655172414,3.0,1.3937275468835046,3.0,0.504625491112993,3.0,10.0,0.0,19.0,0.0,15.0,0.0
563,0.27586206896551724,2.0,0.7566928280687346,3.0,0.20874284912240954,2.0,2.0,1.0,7.0,0.0,4.0,1.0
564,0.15517241379310345,2.0,0.49306284028962355,2.0,0.07650975107942434,2.0,3.0,10.0,1.0,1.0,4.0,7.0
565,0.08620689655172414,1.0,0.22279600299597627,1.0,0.019206551982411748,1.0,0.0,23.0,0.0,9.0,0.0,46.0
566,0.034482758620689655,1.0,0.3716035437578362,2.0,0.012813915301994352,1.0,0.0,31.0,1.0,2.0,0.0,49.0
567,0.017241379310344827,1.0,0.421677251503911,2.0,0.007270297439722603,1.0,0.0,33.0,0.0,1.0,0.0,53.0
568,0.017241379310344827,1.0,0.386932451351834,2.0,0.006671249161238517,1.0,0.0,33.0,1.0,2.0,0.0,53.0
569,0.017241379310344827,1.0,0.3223806905779827,2.0,0.005558287768585908,1.0,0.0,33.0,1.0,4.0,0.0,54.0
570,0.017241379310344827,1.0,0.2655698199190959,2.0,0.004578789998605101,1.0,0.0,33.0,0.0,8.0,0.0,54.0
571,0.017241379310344827,1.0,0.23037995692221166,1.0,0.003972068222796753,1.0,0.0,33.0,0.0,9.0,0.0,55.0
572,0.017241379310344827,1.0,0.23069080388079757,1.0,0.0039774276531172,1.0,0.0,33.0,0.0,9.0,0.0,55.0
573,0.017241379310344827,1.0,0.19117023173484168,1.0,0.0032960384781869257,1.0,0.0,33.0,0.0,11.0,0.0,55.0
574,0.017241379310344827,1.0,0.15316758935535485,1.0,0.002640820506126808,1.0,0.0,33.0,0.0,12.0,0.0,56.0
575,0.017241379310344827,1.0,0.15803281883273576,1.0,0.002724703772978203,1.0,0.0,33.0,0.0,12.0,0.0,56.0
576,0.017241379310344827,1.0,0.12253528260098377,1.0,0.0021126772862238583,1.0,0.0,33.0,0.0,13.0,0.0,56.0
577,0.017241379310344827,1.0,0.06286435297438119,1.0,0.00108386815473071,1.0,0.0,33.0,0.0,16.0,0.0,57.0
578,0.41379310344827586,3.0,1.5140741418118184,3.0,0.6265134379910973,3.0,13.0,0.0,21.0,0.0,19.0,0.0
579,0.43103448275862066,3.0,1.5193263282950882,3.0,0.6548820380582276,3.0,15.0,0.0,21.0,0.0,20.0,0.0
580,0.4482758620689655,3.0,1.6122858231235058,3.0,0.7227488172622613,3.0,16.0,0.0,23.0,0.0,23.0,0.0
581,0.4827586206896552,3.0,1.6898357325213462,3.0,0.8157827674240982,3.0,19.0,0.0,25.0,0.0,26.0,0.0
582,0.5172413793103449,3.0,1.632086121844111,3.0,0.8441824768159195,3.0,21.0,0.0,24.0,0.0,27.0,0.0
583,0.5689655172413793,3.0,1.2794260354706088,3.0,0.7279492960436224,3.0,25.0,0.0,17.0,0.0,23.0,0.0
584,0.5344827586206896,3.0,1.5764284400118334,3.0,0.842573821385635,3.0,22.0,0.0,23.0,0.0,27.0,0.0
585,0.5172413793103449,3.0,1.5054996153233295,3.0,0.7787066975810326,3.0,21.0,0.0,21.0,0.0,25.0,0.0
586,0.4827586206896552,3.0,1.1618672157277514,3.0,0.5609014144892593,3.0,19.0,0.0,15.0,0.0,17.0,0.0
587,0.3448275862068966,3.0,1.3577244097685408,3.0,0.4681808309546693,3.0,9.0,0.0,18.0,0.0,14.0,0.0
588,0.25862068965517243,2.0,0.7588431000403656,3.0,0.19625252587250835,2.0,1.0,1.0,7.0,0.0,4.0,1.0
589,0.13793103448275862,2.0,0.4636804764438182,2.0,0.06395592778535424,2.0,2.0,14.0,1.0,1.0,5.0,14.0
590,0.06896551724137931,1.0,0.27666245889037117,2.0,0.019080169578646288,1.0,0.0,26.0,0.0,7.0,0.0,46.0
591,0.017241379310344827,1.0,0.41342420543151315,2.0,0.00712800354192264,1.0,0.0,33.0,1.0,1.0,0.0,53.0
592,0.017241379310344827,1.0,0.3412509399442539,2.0,0.005883636895590584,1.0,0.0,33.0,1.0,3.0,0.0,54.0
593,0.017241379310344827,1.0,0.2925638231924521,2.0,0.005044203848145726,1.0,0.0,33.0,1.0,5.0,0.0,54.0
594,0.017241379310344827,1.0,0.23450971300406762,1.0,0.004043270913863235,1.0,0.0,33.0,0.0,9.0,0.0,55.0
595,0.017241379310344827,1.0,0.17820853644215995,1.0,0.003072560973140689,1.0,0.0,33.0,0.0,11.0,0.0,55.0
596,0.017241379310344827,1.0,0.14533389006735487,1.0,0.0025057567252992218,1.0,0.0,33.0,0.0,12.0,0.0,56.0
597,0.017241379310344827,1.0,0.15755919247446248,1.0,0.002716537801283836,1.0,0.0,33.0,0.0,12.0,0.0,56.0
598,0.017241379310344827,1.0,0.12131304303777232,1.0,0.0020916041903064194,1.0,0.0,33.0,0.0,13.0,0.0,56.0
599,0.017241379310344827,1.0,0.08384171760190699,1.0,0.001445546855205293,1.0,0.0,33.0,0.0,15.0,0.0,56.0
600,0.017241379310344827,1.0,0.09239166997730562,1.0,0.0015929598271949244,1.0,0.0,33.0,0.0,14.0,0.0,56.0
601,0.017241379310344827,1.0,0.07320327705399324,1.0,0.0012621254664481592,1.0,0.0,33.0,0.0,15.0,0.0,56.0
602,0.017241379310344827,1.0,0.038213062041673934,1.0,0.0006588458972702402,1.0,0.0,33.0,0.0,17.0,0.0,57.0
603,0.39655172413793105,3.0,1.5349942904295053,3.0,0.6087046324117004,3.0,12.0,0.0,22.0,0.0,19.0,0.0
604,0.41379310344827586,3.0,1.527335976453158,3.0,0.632001093704755,3.0,13.0,0.0,22.0,0.0,20.0,0.0
605,0.43103448275862066,3.0,1.5223705522213782,3.0,0.6561942035436974,3.0,15.0,0.0,21.0,0.0,20.0,0.0
606,0.4482758620689655,3.0,1.6275465253185277,3.0,0.7295898216945125,3.0,16.0,0.0,23.0,0.0,23.0,0.0
607,0.4827586206896552,3.0,1.6537725467739723,3.0,0.7983729536150211,3.0,19.0,0.0,24.0,0.0,25.0,0.0
608,0.5,3.0,1.7183239071247378,3.0,0.8591619535623689,3.0,20.0,0.0,25.0,0.0,27.0,0.0
609,0.5517241379310345,3.0,1.408668726286411,3.0,0.7771965386407785,3.0,23.0,0.0,19.0,0.0,25.0,0.0
610,0.5517241379310345,3.0,1.448694439570554,3.0,0.7992796907975471,3.0,23.0,0.0,20.0,0.0,25.0,0.0
611,0.5172413793103449,3.0,1.4574554742341952,3.0,0.7538562797763079,3.0,21.0,0.0,20.0,0.0,24.0,0.0
612,0.46551724137931033,3.0,1.135889308280758,3.0,0.5287760573031115,3.0,17.0,0.0,14.0,0.0,16.0,0.0
613,0.3620689655172414,3.0,1.3290576761297783,3.0,0.48121053790905766,3.0,10.0,0.0,18.0,0.0,14.0,0.0
614,0.25862068965517243,2.0,0.819659847742699,3.0,0.21198099510587043,2.0,1.0,1.0,8.0,0.0,4.0,1.0
615,0.15517241379310345,2.0,0.4660215277701847,2.0,0.07231368534364935,2.0,3.0,10.0,1.0,1.0,4.0,10.0
616,0.05172413793103448,1.0,0.35421263523693547,2.0,0.018321343201910454,1.0,0.0,29.0,1.0,3.0,0.0,46.0
617,0.017241379310344827,1.0,0.387027396114662,2.0,0.006672886139907966,1.0,0.0,33.0,1.0,2.0,0.0,53.0
618,0.017241379310344827,1.0,0.2860963526432794,2.0,0.004932695735228955,1.0,0.0,33.0,1.0,6.0,0.0,54.0
619,0.017241379310344827,1.0,0.20776928135751982,1.0,0.0035822289889227556,1.0,0.0,33.0,0.0,10.0,0.0,55.0
620,0.017241379310344827,1.0,0.15409817260713712,1.0,0.00265686504495064,1.0,0.0,33.0,0.0,12.0,0.0,56.0
621,0.017241379310344827,1.0,0.10086850806330373,1.0,0.0017391122079879954,1.0,0.0,33.0,0.0,14.0,0.0,56.0
622,0.017241379310344827,1.0,0.07053432371167562,1.0,0.0012161090295116485,1.0,0.0,33.0,0.0,15.0,0.0,57.0
623,0.017241379310344827,1.0,0.0855493885891849,1.0,0.0014749894584342223,1.0,0.0,33.0,0.0,15.0,0.0,56.0
624,0.017241379310344827,1.0,0.040518075290303594,1.0,0.0006985875050052343,1.0,0.0,33.0,0.0,17.0,0.0,57.0
625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0,0.0,57.0
628,0.017241379310344827,1.0,0.0004841755786254246,1.0,8.34785480388663e-06,1.0,0.0,33.0,0.0,18.0,0.0,57.0
629,0.39655172413793105,3.0,1.5526735628942396,3.0,0.6157153783890951,3.0,12.0,0.0,22.0,0.0,19.0,0.0
630,0.41379310344827586,3.0,1.501603454205438,3.0,0.6213531534643192,3.0,13.0,0.0,21.0,0.0,19.0,0.0
631,0.43103448275862066,3.0,1.5505123460249255,3.0,0.6683242870797093,3.0,15.0,0.0,22.0,0.0,21.0,0.0
632,0.46551724137931033,3.0,1.5802383322004272,3.0,0.735628189127785,3.0,17.0,0.0,23.0,0.0,23.0,0.0
633,0.4827586206896552,3.0,1.5963765690035823,3.0,0.7706645505534535,3.0,19.0,0.0,23.0,0.0,24.0,0.0
634,0.5,3.0,1.6158090123825486,3.0,0.8079045061912743,3.0,20.0,0.0,23.0,0.0,26.0,0.0
635,0.5517241379310345,3.0,1.3771654548286125,3.0,0.7598154233537172,3.0,23.0,0.0,19.0,0.0,24.0,0.0
636,0.5344827586206896,3.0,1.528939804386809,3.0,0.8171919644136392,3.0,22.0,0.0,22.0,0.0,26.0,0.0
637,0.5172413793103449,3.0,1.409669294595329,3.0,0.7291392903079289,3.0,21.0,0.0,19.0,0.0,23.0,0.0
638,0.46551724137931033,3.0,1.096556905324236,3.0,0.510466145581972,3.0,17.0,0.0,14.0,0.0,15.0,0.0
639,0.3103448275862069,2.0,1.2747470768806255,3.0,0.39561116179053896,3.0,5.0,1.0,17.0,0.0,11.0,0.0
