fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
99,0.5058823529411764,3.0,1.3747582892016081,3.0,0.6954659580666959,3.0,23.0,0.0,22.0,0.0,15.0,0.0
100,0.5058823529411764,3.0,1.1943466296862244,3.0,0.6041988832530312,3.0,23.0,0.0,18.0,0.0,12.0,0.0
101,0.4117647058823529,3.0,1.1322275429730024,3.0,0.46621134122417746,3.0,16.0,0.0,17.0,0.0,9.0,0.0
102,0.35294117647058826,3.0,0.7056791048826303,2.0,0.24906321348798718,3.0,12.0,0.0,7.0,0.0,4.0,0.0
103,0.25882352941176473,2.0,0.5195650943524451,2.0,0.1344756714794564,2.0,3.0,2.0,2.0,1.0,1.0,0.0
104,0.4,3.0,0.631486965517875,2.0,0.25259478620715,3.0,15.0,0.0,4.0,1.0,4.0,0.0
105,0.4470588235294118,3.0,0.8936137205408203,3.0,0.3994978985947197,3.0,18.0,0.0,11.0,0.0,8.0,0.0
106,0.49411764705882355,3.0,1.0484967918031167,3.0,0.5180807677144812,3.0,22.0,0.0,15.0,0.0,10.0,0.0
107,0.5176470588235295,3.0,1.1484218983301322,3.0,0.5944772179591273,3.0,23.0,0.0,17.0,0.0,12.0,0.0
108,0.5294117647058824,3.0,1.2827219623826394,3.0,0.6790880977319855,3.0,24.0,0.0,20.0,0.0,14.0,0.0
109,0.5529411764705883,3.0,1.3703033005910403,3.0,0.75769711915034,3.0,26.0,0.0,22.0,0.0,16.0,0.0
110,0.5647058823529412,3.0,1.466078956152564,3.0,0.8279034105332126,3.0,27.0,0.0,24.0,0.0,18.0,0.0
111,0.5882352941176471,3.0,1.5347024561522602,3.0,0.9027661506778002,3.0,28.0,0.0,26.0,0.0,20.0,0.0
112,0.5882352941176471,3.0,1.6382264763930194,3.0,0.9636626331723644,3.0,28.0,0.0,28.0,0.0,21.0,0.0
113,0.6,3.0,1.6474079701274078,3.0,0.9884447820764446,3.0,29.0,0.0,28.0,0.0,22.0,0.0
114,0.6,3.0,1.6287066103205063,3.0,0.9772239661923038,3.0,29.0,0.0,28.0,0.0,21.0,0.0
115,0.5882352941176471,3.0,1.5306611342504641,3.0,0.900388902500273,3.0,28.0,0.0,26.0,0.0,19.0,0.0
116,0.5411764705882353,3.0,1.405576154980112,3.0,0.7606647426951194,3.0,25.0,0.0,23.0,0.0,16.0,0.0
117,0.5058823529411764,3.0,1.2533077723167425,3.0,0.634026284819058,3.0,23.0,0.0,19.0,0.0,13.0,0.0
118,0.4117647058823529,3.0,1.124438216495121,3.0,0.463003971497991,3.0,16.0,0.0,16.0,0.0,9.0,0.0
119,0.36470588235294116,3.0,0.7378204431126716,2.0,0.2690874557234449,3.0,13.0,0.0,8.0,0.0,4.0,0.0
120,0.25882352941176473,2.0,0.4770188363860308,2.0,0.12346369882932563,2.0,3.0,2.0,1.0,1.0,1.0,0.0
121,0.16470588235294117,2.0,0.3436494742291831,2.0,0.056601089873041924,2.0,2.0,5.0,2.0,4.0,7.0,28.0
122,0.18823529411764706,2.0,0.3955031960667337,2.0,0.07444766043609104,2.0,1.0,2.0,2.0,2.0,10.0,16.0
123,0.25882352941176473,2.0,0.6446282876408238,2.0,0.16684496856586029,2.0,3.0,2.0,4.0,1.0,2.0,0.0
124,0.35294117647058826,3.0,0.5344330704830436,2.0,0.1886234366410742,2.0,12.0,0.0,2.0,1.0,2.0,1.0
125,0.43529411764705883,3.0,0.7725153238533651,3.0,0.33627137626558246,3.0,18.0,0.0,8.0,0.0,6.0,0.0
126,0.4823529411764706,3.0,1.0504979284209526,3.0,0.5067107654736359,3.0,21.0,0.0,15.0,0.0,10.0,0.0
127,0.5176470588235295,3.0,1.121580441422044,3.0,0.580582816736117,3.0,23.0,0.0,16.0,0.0,12.0,0.0
128,0.5411764705882353,3.0,1.2756627110038647,3.0,0.6903586436020914,3.0,25.0,0.0,20.0,0.0,14.0,0.0
129,0.5529411764705883,3.0,1.396213521706021,3.0,0.7720239472962704,3.0,26.0,0.0,23.0,0.0,16.0,0.0
130,0.5764705882352941,3.0,1.4617821494914378,3.0,0.8426744155891818,3.0,28.0,0.0,24.0,0.0,18.0,0.0
131,0.5882352941176471,3.0,1.5486768065988623,3.0,0.9109863568228602,3.0,28.0,0.0,26.0,0.0,20.0,0.0
132,0.5882352941176471,3.0,1.6396095822233963,3.0,0.9644762248372919,3.0,28.0,0.0,28.0,0.0,21.0,0.0
133,0.6,3.0,1.6664891089856204,3.0,0.9998934653913722,3.0,29.0,0.0,29.0,0.0,22.0,0.0
134,0.611764705882353,3.0,1.6390413225424736,3.0,1.0027076326142192,3.0,30.0,0.0,28.0,0.0,22.0,0.0
135,0.611764705882353,3.0,1.5746314153544465,3.0,0.9633039246874262,3.0,30.0,0.0,27.0,0.0,21.0,0.0
136,0.5647058823529412,3.0,1.419474514023289,3.0,0.8015856079190338,3.0,27.0,0.0,23.0,0.0,17.0,0.0
137,0.5176470588235295,3.0,1.267152385683492,3.0,0.6559377055302783,3.0,23.0,0.0,20.0,0.0,14.0,0.0
138,0.4,3.0,1.1241855050364231,3.0,0.44967420201456926,3.0,15.0,0.0,16.0,0.0,9.0,0.0
139,0.36470588235294116,3.0,0.7232713817243172,2.0,0.263781327452398,3.0,13.0,0.0,7.0,0.0,4.0,0.0
140,0.24705882352941178,2.0,0.5109301336389448,2.0,0.12622979772256285,2.0,2.0,2.0,1.0,1.0,1.0,0.0
141,0.15294117647058825,2.0,0.31162325022111426,2.0,0.04766002650440571,2.0,2.0,7.0,1.0,7.0,5.0,35.0
142,0.07058823529411765,1.0,0.2892954661514144,2.0,0.020420856434217486,1.0,0.0,23.0,1.0,8.0,0.0,54.0
