fid,X,Y,f,BUILT_AREA_SURR,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
80,8.877,45.705,0.3620689655172414,0.6207767395635174,0.3497678454396902,0.41008659810000037,0.7930254362372938
81,8.877,45.771,0.3275862068965517,0.4874862638184693,0.431855885241099,0.25396049118469005,0.6828783796726786
82,8.877,45.837,0.3103448275862069,0.4068747730794355,0.5360196468896345,0.1775899619448261,0.6314793071754521
83,8.877,45.903,0.2241379310344827,0.35032958117708546,0.6058430992023501,0.1353413989906306,0.5820525702416346
84,8.877,45.969,0.1379310344827586,0.1448785377495256,0.8097273913380041,0.032103602690570957,0.3859616425380052
85,8.877,46.035,0.1034482758620689,0.1383637417824039,0.8232121232536656,0.01894394403016834,0.37836817430230346
86,8.877,46.101,0.0517241379310344,0.045084205892722426,0.9399582151994581,0.005733517562497309,0.25723738092562476
87,8.943,44.913,0.3103448275862069,0.3305752784894774,0.08219537493347584,0.22905968090489176,0.8715981794416321
88,8.943,44.979,0.3275862068965517,0.21564385010696463,0.08922950834925271,0.16492380813370094,0.6529381393908603
89,8.943,45.045,0.3448275862068966,0.18545899797756565,0.06391245774370619,0.17770078164672354,0.568559062554677
90,8.943,45.111,0.3620689655172414,0.14614063907247915,0.07372259007513102,0.13828795424640675,0.48824266193581733
91,8.943,45.177,0.3793103448275862,0.11847487859889115,0.11829218961249532,0.10440752926601239,0.43912502214484267
92,8.943,45.243,0.396551724137931,0.1842888922930389,0.13722706963696407,0.11497102938063623,0.4772647071979947
93,8.943,45.309,0.396551724137931,0.20120332857771947,0.14577041639084715,0.13355856851859899,0.4766687820447137
94,8.943,45.375,0.4482758620689655,0.23740385545944753,0.134496042527508,0.16128644136281867,0.48235619890359127
95,8.943,45.441,0.4482758620689655,0.367895462257972,0.08280992994097756,0.3119737727034399,0.6149356587980592
96,8.943,45.507,0.4482758620689655,0.5444834843302665,0.06613348753932762,0.43279958890019476,0.6952871643963989
97,8.943,45.573,0.4482758620689655,0.6735759170113494,0.11600058261496449,0.5749783235490111,0.7961474063861333
98,8.943,45.639,0.4310344827586206,0.6671447056119425,0.18660356634093378,0.4946652909862356,0.737780234376966
99,8.943,45.705,0.3620689655172414,0.5890780317310862,0.2882670894184198,0.4243901117160603,0.7564042303545125
100,8.943,45.771,0.3620689655172414,0.4834383870527517,0.38016120376662094,0.28183995012018626,0.6820205925035201
101,8.943,45.837,0.293103448275862,0.4131553159294505,0.49448072077395194,0.22001857499521685,0.6388564359670061
102,8.943,45.903,0.2241379310344827,0.31091957754614924,0.5895741341213586,0.12490630722427896,0.5241599071431977
103,8.943,45.969,0.1551724137931034,0.1579576946295955,0.7439421066939458,0.03651309746670381,0.33566719888230584
104,9.009,44.913,0.2758620689655172,0.1959904741220245,0.265153931134163,0.14939325834100192,0.6874639433680545
105,9.009,44.979,0.3275862068965517,0.1421340677323702,0.16302227717110476,0.11266857974708487,0.6395683343498618
106,9.009,45.045,0.3448275862068966,0.17014827129044047,0.07858227377517775,0.140936466312022,0.5934311901044983
107,9.009,45.111,0.3793103448275862,0.13044913259995486,0.07706635652997734,0.10422703003242408,0.5080061239940314
108,9.009,45.177,0.3793103448275862,0.11257908278316077,0.13978274345233874,0.07875055243626762,0.42762132196585645
109,9.009,45.243,0.396551724137931,0.14646055778190414,0.14223451171572543,0.1017285536175728,0.4745854783964418
110,9.009,45.309,0.4137931034482758,0.1440214922775366,0.1499635512565291,0.11087276309974972,0.47229524057945066
