fid,X,Y,I,BUILT_AREA_BLOCK,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
64,8.811,45.837,0.8912680569337228,0.3563612484605671,0.423973363,0.16033727073623397,0.5282743546729018
65,8.811,45.903,0.5730151102374367,0.27980843836266683,0.847999614,0.12051889749492081,0.509413415226574
66,8.811,45.969,0.3772008059582993,0.1737270728628522,0.814699056,0.04890502461175864,0.4243392033648323
67,8.811,46.035,0.3246813140031515,0.16281124151404885,0.930074069,0.04474532239272218,0.45680818328862455
68,8.811,46.101,0.1363428345865545,0.08239736545271473,0.952823147,0.010103118926836078,0.3164425121949846
69,8.877,44.979,0.8367919161071139,0.13867733668133722,0.0,0.1513802831516653,0.5889197483363214
70,8.877,45.045,0.883683895380702,0.13999191496993535,0.152762283,0.16175094141912508,0.4982851310788945
71,8.877,45.111,0.8802972059025196,0.13207422028304872,0.04517935,0.09828366026919659,0.44048300300455745
72,8.877,45.177,0.920912831375197,0.12152256162804995,0.03639857,0.11262771920827253,0.43141788109057577
73,8.877,45.243,1.0078883294545329,0.1563376745369756,0.047356893,0.11215156923690259,0.4400499171909211
74,8.877,45.309,1.125176344547401,0.172841192732036,0.136002101,0.10338118575971991,0.4200876132615075
75,8.877,45.375,1.2326435385424412,0.23452688036567076,0.310866585,0.19401061749414944,0.5010530688024117
76,8.877,45.441,1.3687777776164225,0.30938568954674794,0.055445823,0.25244884811679286,0.540565998220162
77,8.877,45.507,1.4687205769116434,0.49282688692686827,0.037210066,0.38848294093155206,0.6712958200835024
78,8.877,45.573,1.4890533938451278,0.6531206840308956,0.097383198,0.5310207813153928,0.8138072640631501
79,8.877,45.639,1.440553749249981,0.6652580171588655,0.112090613,0.4595486535333131,0.7471802101372826
80,8.877,45.705,1.3146898729250045,0.5930992210018241,0.371365394,0.41008659810000037,0.7930254362372938
81,8.877,45.771,1.1248525357452173,0.49548422960436683,0.3557342029999999,0.25396049118469005,0.6828783796726786
82,8.877,45.837,0.9046240206612334,0.401429097046683,0.48606412,0.1775899619448261,0.6314793071754521
