fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
20,0.7407407407407407,4.0,0.8474747035117981,3.0,0.6277590396383689,3.0,28.0,0.0,8.0,0.0,8.0,0.0
21,0.7407407407407407,4.0,0.8593996589434629,3.0,0.6365923399581207,3.0,28.0,0.0,8.0,0.0,8.0,0.0
22,0.7407407407407407,4.0,0.8621608430699145,3.0,0.63863766153327,3.0,28.0,0.0,8.0,0.0,8.0,0.0
23,0.7407407407407407,4.0,0.8915886920121879,3.0,0.6604360681571763,3.0,28.0,0.0,8.0,0.0,9.0,0.0
24,0.7777777777777778,4.0,0.9203434297469549,3.0,0.7158226675809649,3.0,29.0,0.0,9.0,0.0,10.0,0.0
25,0.8148148148148148,4.0,0.9934681153169512,3.0,0.8094925384064047,3.0,31.0,0.0,10.0,0.0,11.0,0.0
26,0.8148148148148148,4.0,1.0550118533775807,3.0,0.8596392879372879,3.0,31.0,0.0,11.0,0.0,12.0,0.0
27,0.8148148148148148,4.0,0.9985893041291716,3.0,0.8136653589200656,3.0,31.0,0.0,10.0,0.0,11.0,0.0
28,0.8148148148148148,4.0,0.9522248933942052,3.0,0.7758869501730561,3.0,31.0,0.0,10.0,0.0,10.0,0.0
29,0.7407407407407407,4.0,0.893115505238972,3.0,0.661567040917757,3.0,28.0,0.0,8.0,0.0,9.0,0.0
30,0.6666666666666666,4.0,0.7243807316382561,2.0,0.4829204877588374,3.0,24.0,0.0,5.0,0.0,6.0,0.0
31,0.5925925925925926,3.0,0.47548042201261753,2.0,0.28176617600747705,3.0,21.0,0.0,0.0,1.0,3.0,0.0
32,0.4074074074074074,3.0,0.3325379115594752,2.0,0.13547840841311953,2.0,13.0,0.0,1.0,7.0,1.0,0.0
33,0.14814814814814814,2.0,0.20516937875180422,1.0,0.030395463518785807,2.0,0.0,1.0,0.0,13.0,7.0,68.0
34,0.037037037037037035,1.0,0.13108710361745,1.0,0.004855077911757407,1.0,0.0,34.0,0.0,16.0,0.0,94.0
35,0.7777777777777778,4.0,0.7916299202849822,3.0,0.6157121602216529,3.0,29.0,0.0,7.0,0.0,8.0,0.0
36,0.7407407407407407,4.0,0.8325335834308304,3.0,0.6166915432820965,3.0,28.0,0.0,7.0,0.0,8.0,0.0
37,0.7407407407407407,4.0,0.8566630192691326,3.0,0.6345651994586167,3.0,28.0,0.0,8.0,0.0,8.0,0.0
38,0.7777777777777778,4.0,0.8719188422346991,3.0,0.678159099515877,3.0,29.0,0.0,8.0,0.0,9.0,0.0
39,0.7777777777777778,4.0,0.9733187811397468,3.0,0.7570257186642475,3.0,29.0,0.0,10.0,0.0,10.0,0.0
40,0.8148148148148148,4.0,1.054311973145253,3.0,0.8590690151553914,3.0,31.0,0.0,11.0,0.0,12.0,0.0
41,0.8518518518518519,4.0,1.1233498962084378,3.0,0.9569276893627433,3.0,33.0,0.0,13.0,0.0,13.0,0.0
42,0.8518518518518519,4.0,1.2630107058919653,3.0,1.0758980087227852,3.0,33.0,0.0,15.0,0.0,15.0,0.0
43,0.8148148148148148,4.0,1.2621112073360417,3.0,1.028386909681219,3.0,31.0,0.0,15.0,0.0,14.0,0.0
44,0.8148148148148148,4.0,1.1970185194645055,3.0,0.9753484232673748,3.0,31.0,0.0,14.0,0.0,13.0,0.0
45,0.8148148148148148,4.0,1.1153954767752619,3.0,0.908840758853917,3.0,31.0,0.0,12.0,0.0,12.0,0.0
46,0.8148148148148148,4.0,0.9956357537861257,3.0,0.8112587623442505,3.0,31.0,0.0,10.0,0.0,11.0,0.0
47,0.6666666666666666,4.0,0.824294952589527,3.0,0.5495299683930179,3.0,24.0,0.0,7.0,0.0,7.0,0.0
48,0.6296296296296297,3.0,0.5341212150515002,2.0,0.3362985428102039,3.0,23.0,0.0,1.0,1.0,4.0,0.0
49,0.4444444444444444,3.0,0.3754057537553729,2.0,0.1668470016690546,2.0,14.0,0.0,1.0,5.0,2.0,0.0
50,0.2222222222222222,2.0,0.311389225173095,2.0,0.0691976055940211,2.0,3.0,1.0,1.0,7.0,14.0,31.0
51,0.07407407407407407,1.0,0.18804528548051797,1.0,0.013929280405964292,1.0,0.0,23.0,0.0,14.0,0.0,87.0
52,0.8148148148148148,4.0,0.8326121553385872,3.0,0.6784247191647748,3.0,31.0,0.0,7.0,0.0,9.0,0.0
53,0.7777777777777778,4.0,0.838366946947166,3.0,0.6520631809589069,3.0,29.0,0.0,7.0,0.0,9.0,0.0
54,0.7777777777777778,4.0,0.8941931624071807,3.0,0.6954835707611405,3.0,29.0,0.0,8.0,0.0,9.0,0.0
55,0.8518518518518519,4.0,0.9768495339459686,3.0,0.8321310844724918,3.0,33.0,0.0,10.0,0.0,11.0,0.0
56,0.8888888888888888,4.0,1.0655005653523129,3.0,0.9471116136465003,3.0,34.0,0.0,12.0,0.0,13.0,0.0
57,0.8888888888888888,4.0,1.168796314773103,3.0,1.0389300575760916,3.0,34.0,0.0,13.0,0.0,14.0,0.0
58,0.8888888888888888,4.0,1.2963528091434227,3.0,1.1523136081274867,3.0,34.0,0.0,16.0,0.0,16.0,0.0
59,0.8888888888888888,4.0,1.3675532838195419,3.0,1.2156029189507038,4.0,34.0,0.0,17.0,0.0,17.0,0.0
60,0.8888888888888888,4.0,1.3724188692285544,3.0,1.2199278837587149,4.0,34.0,0.0,17.0,0.0,17.0,0.0
61,0.8148148148148148,4.0,1.3486903755431803,3.0,1.0989328985907394,3.0,31.0,0.0,17.0,0.0,15.0,0.0
62,0.8148148148148148,4.0,1.2296356493035814,3.0,1.0019253438769922,3.0,31.0,0.0,15.0,0.0,14.0,0.0
63,0.8148148148148148,4.0,1.0679545063279519,3.0,0.870185153304257,3.0,31.0,0.0,12.0,0.0,12.0,0.0
64,0.6666666666666666,4.0,0.8912680569337228,3.0,0.5941787046224818,3.0,24.0,0.0,8.0,0.0,8.0,0.0
65,0.6296296296296297,3.0,0.5730151102374367,2.0,0.36078729163097867,3.0,23.0,0.0,2.0,1.0,4.0,0.0
66,0.48148148148148145,3.0,0.37720080595829936,2.0,0.1816152028688108,2.0,16.0,0.0,1.0,5.0,2.0,0.0
67,0.25925925925925924,2.0,0.3246813140031515,2.0,0.08417663696378001,2.0,5.0,1.0,1.0,7.0,11.0,22.0
68,0.14814814814814814,2.0,0.1363428345865545,1.0,0.02019893845726733,1.0,0.0,1.0,0.0,16.0,0.0,82.0
69,0.7407407407407407,4.0,0.8367919161071139,3.0,0.6198458637830473,3.0,28.0,0.0,7.0,0.0,8.0,0.0
70,0.8148148148148148,4.0,0.883683895380702,3.0,0.7200387295694609,3.0,31.0,0.0,8.0,0.0,10.0,0.0
71,0.8148148148148148,4.0,0.8802972059025196,3.0,0.7172792048094604,3.0,31.0,0.0,8.0,0.0,10.0,0.0
72,0.8148148148148148,4.0,0.920912831375197,3.0,0.7503734181575679,3.0,31.0,0.0,9.0,0.0,10.0,0.0
73,0.8888888888888888,4.0,1.0078883294545329,3.0,0.8959007372929181,3.0,34.0,0.0,11.0,0.0,12.0,0.0
74,0.8888888888888888,4.0,1.125176344547401,3.0,1.000156750708801,3.0,34.0,0.0,13.0,0.0,14.0,0.0
75,0.8888888888888888,4.0,1.2326435385424412,3.0,1.095683145371059,3.0,34.0,0.0,15.0,0.0,15.0,0.0
76,0.8888888888888888,4.0,1.3687777776164223,3.0,1.2166913578812641,4.0,34.0,0.0,17.0,0.0,17.0,0.0
77,0.8888888888888888,4.0,1.4687205769116434,3.0,1.3055294016992385,4.0,34.0,0.0,19.0,0.0,18.0,0.0
78,0.8888888888888888,4.0,1.4890533938451278,3.0,1.3236030167512247,4.0,34.0,0.0,19.0,0.0,18.0,0.0
79,0.8888888888888888,4.0,1.440553749249981,3.0,1.2804922215555385,4.0,34.0,0.0,18.0,0.0,18.0,0.0
80,0.8148148148148148,4.0,1.3146898729250043,3.0,1.0712287853462996,3.0,31.0,0.0,16.0,0.0,15.0,0.0
81,0.8148148148148148,4.0,1.1248525357452173,3.0,0.916546510607214,3.0,31.0,0.0,13.0,0.0,12.0,0.0
82,0.6666666666666666,4.0,0.9046240206612334,3.0,0.6030826804408222,3.0,24.0,0.0,9.0,0.0,8.0,0.0
83,0.6296296296296297,3.0,0.6136105365899996,2.0,0.38634737488999976,3.0,23.0,0.0,2.0,1.0,5.0,0.0
84,0.48148148148148145,3.0,0.40319914981316185,2.0,0.19413292398411494,2.0,16.0,0.0,1.0,4.0,2.0,0.0
85,0.37037037037037035,3.0,0.2961361606776757,2.0,0.10968005951025024,2.0,11.0,0.0,1.0,8.0,5.0,8.0
86,0.14814814814814814,2.0,0.17913690624410586,1.0,0.02653880092505272,2.0,0.0,1.0,0.0,14.0,3.0,75.0
87,0.6666666666666666,4.0,0.5481838662038001,2.0,0.36545591080253337,3.0,24.0,0.0,1.0,1.0,4.0,0.0
88,0.7407407407407407,4.0,0.7317523871765066,2.0,0.5420388053159307,3.0,28.0,0.0,5.0,0.0,7.0,0.0
89,0.8148148148148148,4.0,0.8738827543360257,3.0,0.712052614644169,3.0,31.0,0.0,8.0,0.0,9.0,0.0
90,0.8148148148148148,4.0,0.9122184004181884,3.0,0.7432890670074127,3.0,31.0,0.0,9.0,0.0,10.0,0.0
91,0.8148148148148148,4.0,0.9686253479967297,3.0,0.7892502835528908,3.0,31.0,0.0,10.0,0.0,11.0,0.0
92,0.8888888888888888,4.0,1.0600934003042903,3.0,0.9423052447149247,3.0,34.0,0.0,11.0,0.0,13.0,0.0
93,0.8888888888888888,4.0,1.163282043964827,3.0,1.0340284835242906,3.0,34.0,0.0,13.0,0.0,14.0,0.0
94,0.8888888888888888,4.0,1.2680337317261854,3.0,1.1271410948677203,3.0,34.0,0.0,15.0,0.0,15.0,0.0
95,0.8888888888888888,4.0,1.4236164311025703,3.0,1.2654368276467292,4.0,34.0,0.0,18.0,0.0,17.0,0.0
