fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
248,9.405,45.177,0.8888888888888888,-1.262784084422323,1.7269099926043319,1.4131304516359084,0.06601064879646311,-0.6492517824409575,-0.034813024489283396,-0.17183504164025273,0.7630093681861457
249,9.405,45.243,0.925925925925926,-1.6337931281704363,1.7647249857218108,1.785677745106148,0.11568248775611012,-0.7834330381992165,-0.04716858548714508,-0.17449614619450043,0.9012591268139543
250,9.405,45.309,0.925925925925926,-2.0596589076350718,1.8834004053814322,1.9638727710898163,0.12629289453933712,-0.6806359454199099,-0.2544674942651407,-0.13507091313399205,0.9982870669523349
251,9.405,45.375,0.925925925925926,-2.531922130119238,2.1039833656396913,2.047724743299219,0.07976555319995972,-0.593520975418735,-0.7383110363771961,-0.060079503311191204,1.137164129023493
252,9.405,45.441,0.925925925925926,-3.146265760993969,2.327703354854222,2.090371226290049,0.058957419746037645,-0.5757105630231197,-2.018695055484816,0.0006041680248853988,1.2686936162842155
253,9.405,45.507,0.925925925925926,-3.8235224664135536,2.6853450813859823,2.152074218944582,-0.0194481176701862,-0.5340416347054405,-2.4213321256526177,0.1869803742567444,1.39392804538133
254,9.405,45.573,0.8888888888888888,-4.596518809895617,2.9162182627926456,2.2426888803896476,-0.11395418744175734,-0.44443246346909054,-2.7416030132158027,0.38004187992692207,1.5741593596091352
255,9.405,45.639,0.8888888888888888,-5.3949707413737515,4.408555594643768,2.4337490836064637,-0.25141158161690774,-0.308352028977093,-3.263690205931858,-2.7632802827946277,1.8463656245187272
256,9.405,45.705,0.8518518518518519,-6.217902011625551,10.301822770452318,2.721371834287112,-2.4683806592951196,0.737681498014636,-9.403256326717168,-5.455497065229339,2.571469685182194
257,9.405,45.771,0.8148148148148148,-10.125090127508216,12.537653229163269,2.726333376663508,-0.6448133612989275,0.03076903688961055,-24.93538477367815,-3.3739799853822907,1.6872597827933116
258,9.405,45.837,0.7037037037037037,-12.906846276331338,12.14480982724702,2.4190520545101437,0.35489024491933296,-2.023717925535838,-28.178584514693085,-4.559694024647591,1.200710612758845
259,9.405,45.903,0.5555555555555556,-15.155660575002788,12.169199368839845,3.6320964449013604,0.27011722649285386,-4.378507198625911,-29.627816620443753,-5.872212206441933,-0.8489320404276541
260,9.405,45.969,0.3333333333333333,-17.141031272993352,12.514575601617414,4.21145973325247,0.013392690636215036,-4.352921612487414,-30.60909072262301,-7.2238861239223215,-1.740951987764458
261,9.405,46.035,0.3333333333333333,-18.541896541203613,12.74501710813905,4.44205500309458,-0.19530649401426345,-4.319194890780196,-31.62167375974789,-8.964984098621693,-2.2679080369512397
262,9.405,46.101,0.2962962962962963,-19.725056804532734,13.267019058985113,5.144860960413995,-0.9471494974144972,-3.6216477098653765,-32.194710328894374,-10.767680309084687,-4.451943291248947
