fid,X,Y,f,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
210,9.273,46.035,0.1379310344827586,-0.22962812282948095,-0.5904640661981515,0.2903697349978379,0.004469230002115777
211,9.273,46.101,0.0689655172413793,-0.39203906492498164,-0.6024501635359519,0.3383514294578752,-0.032721729801431496
212,9.273,46.167,0.0172413793103448,-0.4865559967891865,-0.5955136895035624,0.3147969471927715,-0.0531476490336128
213,9.273,46.233,0.0172413793103448,-0.5094992918340675,-0.5863814322429071,0.2717548412420996,-0.06517857141365668
214,9.273,46.299,0.0172413793103448,-0.49614113606186094,-0.5823509875996324,0.2223697151544368,-0.07251317167978652
215,9.273,46.365,0.0172413793103448,-0.4896381467715276,-0.5851426381301377,0.1875976905125486,-0.07681879470064917
216,9.273,46.431,0.0172413793103448,-0.5062427452738378,-0.5888586245538819,0.1832674178398143,-0.08034191349456636
217,9.273,46.497,0.0172413793103448,-0.5146789358150103,-0.5919153305903575,0.18043017597460131,-0.08284158369273867
218,9.339,44.715,0.0172413793103448,-0.2582609986356649,-0.7480639787205767,0.33659566321674816,0.006405511857172217
219,9.339,44.781,0.0517241379310344,-0.24063084991487893,-0.7495492485759612,0.3384233976029554,0.007812497205883547
220,9.339,44.847,0.1379310344827586,-0.18507975808072577,-0.7295035311674648,0.3336936194301433,0.011984136011089695
221,9.339,44.913,0.1896551724137931,-0.18817380383909557,-0.620929624221153,0.33042681073795105,0.015508304963383361
222,9.339,44.979,0.2758620689655172,-0.15582432609886987,-0.575084471251849,0.3497208782822221,0.02145468049534974
223,9.339,45.045,0.3620689655172414,-0.06512435898485198,-0.5841271830276427,0.35369231110181765,0.03379046691514649
224,9.339,45.111,0.396551724137931,0.016315455960093178,-0.5972693336564823,0.23343133095274785,0.04715535450536442
225,9.339,45.177,0.4310344827586206,0.08587865611742043,-0.6124227903496615,-0.07284316936361471,0.06677856233099375
226,9.339,45.243,0.4482758620689655,0.1480561801897063,-0.6311530264626684,-0.06774470884706205,0.08196998977466838
227,9.339,45.309,0.4655172413793103,0.21322471280129812,-0.6494377846738273,-0.01826511290312804,0.09055170385219108
228,9.339,45.375,0.5,0.290461434316832,-0.671339720497953,-0.008586753437711491,0.09380117128001135
229,9.339,45.441,0.5172413793103449,0.36734900671077264,-0.6932650851462879,0.00449884561186651,0.09494678881859275
230,9.339,45.507,0.5517241379310345,0.390075584431899,-0.6910731259516942,0.002857444980647348,0.09579316676723365
231,9.339,45.573,0.5,0.34635320831221333,-0.669744891602327,-0.01019741435102036,0.09641856119041756
232,9.339,45.639,0.4827586206896552,0.3525565925846449,-0.6410697732483229,-0.02506575723051117,0.09665263658665563
233,9.339,45.705,0.4655172413793103,0.4045005496534201,-0.6299629675317582,-0.013979551506863041,0.09590714320923842
234,9.339,45.771,0.396551724137931,0.36595106741110395,-0.612793499310754,0.014574564344280505,0.09308119961994832
235,9.339,45.837,0.293103448275862,0.2513129483221929,-0.5839270255856147,-0.006070407919510863,0.08585583103552583
236,9.339,45.903,0.2241379310344827,0.13634009339021472,-0.5887164614961955,0.10327896016402704,0.0680264477234988
237,9.339,45.969,0.1724137931034483,-0.012848599119384196,-0.6001210967235032,0.19314633763222017,0.033811668721600616
238,9.339,46.035,0.1034482758620689,-0.20834749640477102,-0.6171518759034913,0.25495267407698063,-0.011559995010569998
239,9.339,46.101,0.0689655172413793,-0.3883867096565845,-0.6284564410952161,0.31003562593963485,-0.04468313992018335
240,9.339,46.167,0.0517241379310344,-0.5146556175616723,-0.6295723398123493,0.3420371872382561,-0.06180028909049988
241,9.339,46.233,0.0172413793103448,-0.5718980962225663,-0.6103564723919321,0.26975856571659546,-0.07245053466918588
242,9.339,46.299,0.0172413793103448,-0.5414961277900735,-0.5978481736839234,0.217653560743365,-0.0779581566805472
243,9.339,46.365,0.0172413793103448,-0.504843831103938,-0.590648100705907,0.18271640411286788,-0.08196222800858863
244,9.339,46.431,0.0172413793103448,-0.5100876930175519,-0.5927574809961087,0.1786261565664611,-0.08463804967291466
245,9.339,46.497,0.0172413793103448,-0.5140418393806142,-0.5946818222287338,0.17769284107545386,-0.08680065007768134
246,9.405,45.045,0.3620689655172414,-0.03584896591437372,-0.5876545409789167,0.36170915792511116,0.03686874815473407
247,9.405,45.111,0.396551724137931,0.04215089188160874,-0.6056527262999992,0.15001270751702775,0.049630556591402496
248,9.405,45.177,0.4482758620689655,0.12194894038896253,-0.627695730182299,-0.053790060049732226,0.06860984506102405
