fid,X,Y,Ex,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
314,9.603,45.309,1.0456702446220794,0.020775652634105274,-1.267628816593908,0.00712346338114784,0.1607660918308011
315,9.603,45.375,1.1391654515077003,0.13211213404642677,-1.3693161222804222,0.009019556746079425,0.16704974979009055
316,9.603,45.441,1.2191609850012122,0.20864920166543588,-1.435668538364107,0.010851269484916791,0.15992082364190874
317,9.603,45.507,1.2641365385252046,0.26013385980837594,-1.4841916247236364,-0.019142559600490258,0.15498800626807682
318,9.603,45.573,1.1733362713688955,0.22217775021261882,-1.4489708228466898,-0.05629827107454485,0.10705361986327669
319,9.603,45.639,0.9610574624853756,0.1595423310393476,-1.3522652863205094,-0.07149829857870292,0.09350750706947115
320,9.603,45.705,0.7161785174603233,0.14365642107472,-1.1968571682655882,-0.06528842886321483,0.12914195867832176
321,9.603,45.771,0.4423036885911351,0.0852119065815185,-0.6847242234529999,-0.0010768005783025718,0.14913173056430212
322,9.603,45.837,0.1948473449262325,-0.025955902381133364,-0.6423342300498935,0.1683918455262426,-0.013265476077720178
323,9.603,45.903,0.0725773865632991,-0.14643823283122315,-0.648205911305918,0.23996935241811612,-0.11484091151947377
324,9.603,45.969,0.0263398372667402,-0.24002614305451808,-0.6340791156573916,0.2529974309926486,-0.14176816039465934
325,9.603,46.035,0.011456977443187,-0.30795217934999497,-0.6157056013908211,0.2438945810504215,-0.16134502787230728
326,9.603,46.101,0.0112095372063358,-0.37812569050361705,-0.608897719524999,0.24587729469775163,-0.17673418287003778
327,9.603,46.167,0.0061929201235416,-0.4352866247275757,-0.6021336880576076,0.2551729046405903,-0.1920082139157391
328,9.603,46.233,0.003273373464689,-0.4672482299526832,-0.5875484039636596,0.2572026626125096,-0.21662847935446128
329,9.603,46.299,0.0014858949285668,-0.4826187619528353,-0.5780265817021574,0.25866815569196544,-0.22376154570556522
330,9.669,45.045,0.5739493232660436,-0.41440974059219493,-0.8437816033450536,0.00023178356703440137,-0.3000091991836526
331,9.669,45.111,0.7311787342240827,-0.30542481967078505,-0.9535528487569639,-0.00841461926390707,-0.19367021069862067
332,9.669,45.177,0.8341188173285302,-0.18517154489539492,-1.070980226749226,-0.014699196326896934,-0.07115804742353818
333,9.669,45.243,0.9068033311475616,-0.09143577550215387,-1.162108541114679,-0.04311799211561991,0.08593284636228048
334,9.669,45.309,1.0190830031024778,0.022831736154989114,-1.2728830448993775,-0.011055976613094272,0.1586447447567869
335,9.669,45.375,1.1252352421667036,0.12217368151780793,-1.3623531465912655,-0.010995782956855627,0.13140937269491235
336,9.669,45.441,1.2069050770101386,0.20092578357697274,-1.4288830993824844,-0.0027819685082427423,0.13114049993408997
337,9.669,45.507,1.243736512452361,0.25559552972432326,-1.4788128982780635,-0.03290692098344857,0.12002552131834733
338,9.669,45.573,1.1379691736116828,0.20990103063672294,-1.4372097638083317,-0.07247413168752681,0.06041837614265996
339,9.669,45.639,0.9341190260719636,0.13538029620131506,-1.337040929111275,-0.08650788010601974,0.04339585573312123
340,9.669,45.705,0.6842733754612563,0.10792689705367414,-1.1901788086519909,-0.07992402390808091,0.07765022906010713
341,9.669,45.771,0.4041005456242645,0.04102608006021152,-0.7207889893271986,-0.015348140839658932,0.09337844384264143
342,9.669,45.837,0.1695191382746786,-0.0663404067667306,-0.6625164151611902,0.14803288465705464,-0.05887590286028252
343,9.669,45.903,0.0663822211602115,-0.1679250078757134,-0.6564433798054075,0.2233152802951608,-0.1214903942303827
344,9.669,45.969,0.0203939595182757,-0.25372755383928236,-0.6425617741029245,0.23647672944282755,-0.1409297030948366
345,9.669,46.035,0.0097892856040884,-0.3150838240142497,-0.6236933563540881,0.23000441821293888,-0.1589695047663778
346,9.669,46.101,0.009872767916724,-0.3796025575589287,-0.6168447786977688,0.23252810364254714,-0.16914032416645036
347,9.669,46.167,0.0057340823756243,-0.4339789272376673,-0.612026191825354,0.24363764803992471,-0.17680768646416023
348,9.669,46.233,0.0030535319432509,-0.46271854816536806,-0.5985410534442978,0.2375488918252183,-0.20390801975770317
349,9.669,46.299,0.0013484498351666,-0.4743652892530793,-0.5913837464075289,0.23258079636670845,-0.21350839663872936
350,9.735,45.045,0.6141392820741401,-0.40428523672299926,-0.846705326067091,0.043309866107765944,-0.15717141281165706
351,9.735,45.111,0.744696108989569,-0.3020094565527223,-0.9500339667096995,0.036952811723151506,-0.12955815932396114
352,9.735,45.177,0.8389106899944673,-0.17849223816424117,-1.0722103697933334,0.019133711795642154,-0.06862363914134617
353,9.735,45.243,0.9019107326213978,-0.08101296324809243,-1.1663859466987452,-0.048052035379177925,0.00597300887661191
354,9.735,45.309,1.010962011155066,0.030363326039227045,-1.2713544312675435,-0.021058214616014412,0.10567299669637871
355,9.735,45.375,1.1008476038077315,0.12587382510161493,-1.3553273955367093,0.006365442859682785,0.13610207008555408
356,9.735,45.441,1.187131886670739,0.19966843208004262,-1.4166789139137776,-0.0009390603705364455,0.12699765055492013
357,9.735,45.507,1.175384409512471,0.23559709157326764,-1.4467846313706625,-0.04468816944157147,0.06629490399584254
358,9.735,45.573,1.092446688911908,0.19642861518715782,-1.4083688419432794,-0.07783023821111898,0.01681749508176858
359,9.735,45.639,0.9091340670308674,0.1452767082892505,-1.3363476542313362,-0.08570848256404257,0.014111393900386404
360,9.735,45.705,0.6478028323608847,0.11081787721966796,-1.1581996924894213,-0.07352443467291173,0.057513136993420255
361,9.735,45.771,0.3733152092053017,0.024433093218680497,-0.7225840349747983,-0.005678326352555501,0.06515137702920967
362,9.735,45.837,0.1607227004525213,-0.08732224859477139,-0.672636076711561,0.1659381517758218,-0.09418709216970461
363,9.735,45.903,0.0633890787760416,-0.18715705753124948,-0.6620033428360967,0.21898521504565743,-0.12531324168884583
