fid,X,Y,f,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
378,9.801,45.507,0.925925925925926,0.6929890199837425,-0.19487206666321633,0.004960050558367037,0.08024486404691078
379,9.801,45.573,0.925925925925926,0.6791624953429674,-0.19983182497603488,0.0014093958526348238,0.08317598304778256
380,9.801,45.639,0.8888888888888888,0.6352810496969776,-0.19212355923601793,0.00011593149399057381,0.08322332279701794
381,9.801,45.705,0.8148148148148148,0.5572521010229619,-0.17422839405228346,0.01116947306541841,0.08163486482818694
382,9.801,45.771,0.7037037037037037,0.45337760563160756,-0.16384725194939784,0.09950869272261098,0.07843930489669271
383,9.801,45.837,0.5555555555555556,0.3120358380759647,-0.19126781142780552,0.4931806451407643,0.07447487923547907
384,9.801,45.903,0.3333333333333333,0.12625538102464834,-0.22498720290617014,0.6342236784504773,0.0736025307415439
385,9.801,45.969,0.1851851851851851,-0.06513903868102049,-0.2524971896327549,0.6894083471751338,0.07601328368615837
386,9.801,46.035,0.1111111111111111,-0.25093452030973745,-0.2758224799272053,0.7259333712361018,0.07847111901410608
387,9.801,46.101,0.037037037037037,-0.44958306426372496,-0.3002465910398196,0.8604659155428802,0.07699872198185681
388,9.801,46.167,0.0,-0.5899447945858617,-0.32093802232724417,0.9615906171074697,0.07259947461868733
389,9.801,46.233,0.0,-0.6116813754462447,-0.30567340912578794,0.8231217933260838,0.06809086026808558
390,9.801,46.299,0.0,-0.5911280951163125,-0.28842298559500323,0.6744740560657663,0.06500929329186604
391,9.801,46.365,0.0,-0.5824789850313458,-0.280982650021124,0.6451129952839614,0.06240539376132826
392,9.867,45.045,0.8518518518518519,0.7490224611491952,-0.17556900159331523,0.31037476444664225,-0.016234003810566208
393,9.867,45.111,0.925925925925926,0.7593179602225348,-0.1883011690337422,0.27127831298292077,-0.01018636746534197
394,9.867,45.177,0.925925925925926,0.7632876273807194,-0.19976967760030062,0.13620641043994658,-0.004250928883091679
395,9.867,45.243,0.925925925925926,0.7543013093934308,-0.19695292150357713,-0.04104012559871708,0.010739739477295365
396,9.867,45.309,0.925925925925926,0.7293965461431238,-0.18809922794336062,-0.213473967834937,0.033177138334741195
397,9.867,45.375,0.8888888888888888,0.6956216112492752,-0.17617650832296797,-0.06746441168669953,0.04432720413154155
398,9.867,45.441,0.8888888888888888,0.6818781607244855,-0.17425362483746173,0.0233261005217182,0.0516632161136621
399,9.867,45.507,0.925925925925926,0.6902122461423446,-0.1818873771074903,0.036684591706435954,0.05792177310948171
400,9.867,45.573,0.925925925925926,0.689305459907059,-0.18746079042317412,0.03025540221467696,0.062276261248301386
401,9.867,45.639,0.8888888888888888,0.6690975368112357,-0.17481134245140406,0.03391682748674454,0.06458431509505921
402,9.867,45.705,0.8148148148148148,0.6060563167054939,-0.14846684261040582,0.06215219985798463,0.0663572257231289
403,9.867,45.771,0.7037037037037037,0.47794642475102656,-0.15018341333416585,0.23245891764231624,0.06727600935535288
404,9.867,45.837,0.5185185185185185,0.298380883683984,-0.1940764006454716,0.5706541256597352,0.06726003149473977
405,9.867,45.903,0.3333333333333333,0.09468402369942472,-0.23489915074807027,0.6924612771016094,0.06842654238681906
406,9.867,45.969,0.1851851851851851,-0.08427725668145228,-0.26115662969864206,0.7203087099010905,0.07130085749564763
407,9.867,46.035,0.074074074074074,-0.26630169868634757,-0.28209793113872283,0.7561833293219786,0.0738132851422621
408,9.867,46.101,0.0,-0.46665251943933195,-0.3057696801953353,0.8989592330643941,0.0725713192115931
409,9.867,46.167,0.0,-0.6055445883240403,-0.3247032240476069,1.0029074860137832,0.06875636078003608
410,9.867,46.233,0.0,-0.6223356613186665,-0.3059584181669761,0.8694809835815901,0.06444230188061795
411,9.867,46.299,0.0,-0.5939697165147203,-0.2862235509828771,0.726353485757071,0.06055252309221259
412,9.867,46.365,0.0,-0.5833024398601188,-0.2783906899510935,0.6955336545332558,0.05736187478739825
413,9.933,45.111,0.925925925925926,0.7516957038017271,-0.1764856592087431,0.15981566760367488,-0.02043579371039808
414,9.933,45.177,0.925925925925926,0.7550726816686202,-0.18906419112659628,0.1763666830049222,-0.012958434237188843
415,9.933,45.243,0.925925925925926,0.7396728557300095,-0.1862113704201623,0.11699396268933633,0.0019271470767183024
416,9.933,45.309,0.8888888888888888,0.7153231730594698,-0.17583120753397122,0.038756713878726236,0.019302048037118824
417,9.933,45.375,0.8888888888888888,0.6834504083155668,-0.16344115062572115,-0.012687824619993996,0.027924536819663337
418,9.933,45.441,0.8888888888888888,0.6725544094246919,-0.16286422665346828,0.059789803925933804,0.03407011706650655
419,9.933,45.507,0.925925925925926,0.6783077902273704,-0.16827467608412033,0.06897874443980151,0.0391318458130943
420,9.933,45.573,0.925925925925926,0.6808746783607804,-0.1705965193551941,0.06319285929777552,0.04325713652450954
421,9.933,45.639,0.8888888888888888,0.6670514100094932,-0.15030042790004533,0.08058164359932371,0.04671631269759933
422,9.933,45.705,0.8148148148148148,0.6187325504079824,-0.11561031964696497,0.14663095072943175,0.052165453910852234
423,9.933,45.771,0.7037037037037037,0.4947853266365927,-0.13209966393285316,0.26739076267888207,0.05824303297037334
424,9.933,45.837,0.5185185185185185,0.29774544610059317,-0.19657431010363527,0.5194745007569626,0.06212117573880284
425,9.933,45.903,0.3333333333333333,0.068880641204694,-0.2487749386695816,0.7217214215812611,0.06495517976621738
426,9.933,45.969,0.1851851851851851,-0.11189833703011476,-0.2707697145769379,0.7677181791704646,0.06780230798595478
427,9.933,46.035,0.074074074074074,-0.2799493016275235,-0.28647371055051785,0.7922521103214549,0.06989448870236356
428,9.933,46.101,0.0,-0.46117703991017084,-0.3040092101403684,0.9096251731862296,0.06884401475604567
429,9.933,46.167,0.0,-0.5891468157348342,-0.3143415365728461,0.997525295353092,0.06523791575977719
430,9.933,46.233,0.0,-0.6022673038503032,-0.29292270357264005,0.8707694318884994,0.06069628351561834
431,9.933,46.299,0.0,-0.5839747247700879,-0.27606362784905025,0.7390841278691116,0.056415056074907
432,9.933,46.365,0.0,-0.5736758270121074,-0.2678608176270727,0.7177280139626501,0.053158059475180236
433,9.999,45.045,0.8518518518518519,0.737163959781715,-0.15760921739162773,-0.0398586708665885,-0.026327083796610452
434,9.999,45.111,0.925925925925926,0.7472434218768745,-0.1683264406542312,0.060505417346261164,-0.020440584922132136
435,9.999,45.177,0.925925925925926,0.7494437026713322,-0.17946069130454462,0.1447012904116258,-0.013929109812136091
436,9.999,45.243,0.925925925925926,0.7302956695225976,-0.1760692719229066,0.12919539704692015,0.0022450070152511183
437,9.999,45.309,0.8888888888888888,0.7044888336960433,-0.16512161217528953,0.11150331202995539,0.014174057384317602
438,9.999,45.375,0.8888888888888888,0.674147668533322,-0.15413436058520552,0.02700707197662416,0.020233592360375256
439,9.999,45.441,0.8888888888888888,0.6640115495983705,-0.15311405673154307,0.07251487884540152,0.024445967118280974
440,9.999,45.507,0.925925925925926,0.660743775169595,-0.15420854510692172,0.07883492156597008,0.028049336851140756
441,9.999,45.573,0.8888888888888888,0.6551627093032928,-0.1536253469882407,0.07190720757295693,0.030849403473952354
442,9.999,45.639,0.8518518518518519,0.6228008513662399,-0.127553176685074,0.0971181241341465,0.03397586873150761
443,9.999,45.705,0.7407407407407407,0.5591225561399942,-0.09194945100163618,0.22886818495023084,0.041565323904909315
444,9.999,45.771,0.6666666666666666,0.44320120183121703,-0.12495104955665222,0.28704696527946877,0.05275663727492023
445,9.999,45.837,0.5185185185185185,0.2700854198056023,-0.20586656997418235,0.4671363969837914,0.05967752519272872
446,9.999,45.903,0.3333333333333333,0.05078185621935535,-0.2589293682357293,0.7086578495004131,0.062969667633746
447,9.999,45.969,0.1481481481481481,-0.12573172600009785,-0.27481298683318384,0.7838647871200921,0.06557037827893927
448,9.999,46.035,0.074074074074074,-0.27397270580636524,-0.2843830886640893,0.8047811527509345,0.06714379805948177
449,9.999,46.101,0.0,-0.4402922847309917,-0.29531041131788893,0.9038677583698103,0.06569697683438872
450,9.999,46.167,0.0,-0.5630406780090044,-0.2998893731955915,0.9827500613000155,0.06166831060621396
451,9.999,46.233,0.0,-0.5750682922961802,-0.2786672259485213,0.8727149093265061,0.056754233824820824
452,9.999,46.299,0.0,-0.5657825478210214,-0.26177917596677464,0.7489248416556822,0.052359078971697566
453,9.999,46.365,0.0,-0.5550406292387283,-0.2500194244377793,0.7322739706113597,0.04980772750517555
454,10.065,45.045,0.8888888888888888,0.7417970966615972,-0.1579141364069978,-0.07027026236886413,-0.026513733571251686
455,10.065,45.111,0.925925925925926,0.7509905778879253,-0.1682296411222144,0.036542058659112996,-0.017682289159691743
456,10.065,45.177,0.925925925925926,0.7584160286086772,-0.17806740995588274,0.11137568136653875,-0.009905008337035077
457,10.065,45.243,0.925925925925926,0.7323523938920011,-0.17169317500360887,0.09908306538965436,0.0032467410653305006
458,10.065,45.309,0.8888888888888888,0.7017172359747846,-0.15937003390293722,0.06280428296324754,0.012048469048108364
459,10.065,45.375,0.8888888888888888,0.6712308265396553,-0.1475789459241244,0.03778556585743392,0.016605887411686383
460,10.065,45.441,0.8888888888888888,0.6566083306094208,-0.14428724190611006,0.057432772818366895,0.01970813544687121
461,10.065,45.507,0.925925925925926,0.6433539869904303,-0.14232294996199904,0.06536032378528113,0.022290344802034314
462,10.065,45.573,0.8888888888888888,0.6299031865003102,-0.13788699359885886,0.07055828610414863,0.02454998831370081
463,10.065,45.639,0.8518518518518519,0.583637819759041,-0.11684522273950193,0.10281627380006725,0.02801885126463967
464,10.065,45.705,0.7037037037037037,0.4952690401863559,-0.10275737391238057,0.28936065435288283,0.036453825726154965
465,10.065,45.771,0.6296296296296297,0.3717686593483847,-0.1471882488722781,0.3681841414510757,0.05025563536905686
466,10.065,45.837,0.5185185185185185,0.21803914948308922,-0.2231644376326003,0.48211015510360833,0.05897621672221411
