fid,X,Y,I,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
240,9.339,46.167,0.3366284113484217,-0.37170926031404705,-0.36104985790495947,0.6381978142993072,-0.07705860208737589
241,9.339,46.233,0.4323547555484332,-0.36929634343132445,-0.34586980079785834,0.5622725159536609,-0.07753893944865176
242,9.339,46.299,0.3120667262040624,-0.406315010423244,-0.3581620285611884,0.5404873238383698,-0.07523476955077552
243,9.339,46.365,0.2278576177512958,-0.4517143931020534,-0.37383001301347174,0.5423021184227191,-0.07342636737911232
244,9.339,46.431,0.1722567366752865,-0.4999316572767333,-0.3862167854590711,0.5568172058762664,-0.0718344101992643
245,9.339,46.497,0.1316614882885396,-0.5237325208978298,-0.3912467207706275,0.5641545218211099,-0.07061785451947582
246,9.405,45.045,1.0089849103211748,-0.1439020022522476,-0.5290309105572739,0.772929775473632,-0.13225881789622138
247,9.405,45.111,1.1891936888063357,-0.06984544987130867,-0.5778447953958643,0.5593882218679304,-0.08351004441039803
248,9.405,45.177,1.410118257857604,0.06256366251434461,-0.6333653530701334,0.1795990508022073,-0.01712996472099009
249,9.405,45.243,1.5899013717718995,0.2028742924541383,-0.6947968810693156,0.07766226322376425,0.03989393238827457
250,9.405,45.309,1.6899291052527994,0.3135497669788133,-0.7451484061298912,0.04507976541877666,0.06871863571610037
251,9.405,45.375,1.7630067336949522,0.4077080466842483,-0.7877707205273343,0.025851029900295933,0.0737858627524394
252,9.405,45.441,1.8306607352511048,0.47014159865100064,-0.8165328427620264,0.018238982811238286,0.07269446645888383
253,9.405,45.507,1.8665352624030505,0.4700884216540484,-0.8216983586206108,0.009634870736711588,0.06860702776145566
254,9.405,45.573,1.747684944733594,0.40552948762832464,-0.8030395126019113,-0.00040157245406614514,0.06526374397640075
255,9.405,45.639,1.5661351938249908,0.32841712086871466,-0.7539866140257132,-0.02138871547352849,0.06368922880989306
256,9.405,45.705,1.320992206027428,0.3389487062994849,-0.6332514105520048,-0.041980783960913766,0.0640175573913038
257,9.405,45.771,1.3219071282874038,0.37726695387459475,-0.4538445908048962,0.004449379879193298,0.06607545985600571
258,9.405,45.837,0.9911674474003284,0.23404891850010062,-0.4684984298660529,0.3741830251470383,0.06240378641703914
259,9.405,45.903,0.5621290302565807,-0.026798315862134978,-0.48663867386633186,0.7670036760876315,0.04105405565878331
260,9.405,45.969,0.2649496387113597,-0.2251023759430833,-0.4684691418389144,0.763827746398043,-0.008123665564691351
261,9.405,46.035,0.0890828108826466,-0.3425026834870586,-0.4469126354305053,0.7416338715332069,-0.05537522876871741
262,9.405,46.101,0.250025417967668,-0.4296980099463884,-0.41911137175372803,0.7166814918715725,-0.07515809262345517
263,9.405,46.167,0.3603064517249642,-0.4376164571076406,-0.3957864257210196,0.6461938888875349,-0.07839078730611784
264,9.405,46.233,0.4203423299182121,-0.42491989359328963,-0.3788755374233713,0.5405070476045282,-0.07769421393403134
265,9.405,46.299,0.2877934791559603,-0.44608449499953384,-0.3815445806715816,0.5184526207516287,-0.07458926255892166
266,9.405,46.365,0.2107793951690794,-0.478365102529922,-0.3867971111527351,0.5321271492447494,-0.07234071016211527
267,9.405,46.431,0.1532906230561387,-0.5115684552346993,-0.39322114928601926,0.5502750683547099,-0.07062394721497947
268,9.405,46.497,0.115747429091585,-0.5296258818758367,-0.3960247764721654,0.5595106060197979,-0.06933868550168047
269,9.471,45.111,1.2126556341908192,-0.0670723931647354,-0.5913619483679262,0.24309127882505646,-0.06137761305742133
270,9.471,45.177,1.4254681060959489,0.05764026912294501,-0.6464108397164722,0.1484425323301683,-0.0011693810051182896
271,9.471,45.243,1.5985937561220245,0.20956448987304974,-0.7100278404281462,0.1234810935490689,0.0482377812122505
272,9.471,45.309,1.6986704302023197,0.3234280392840656,-0.7645948199596317,0.0804872526092336,0.06940754127059781
273,9.471,45.375,1.7930423803902666,0.4178162465859959,-0.8114266385183306,0.05027719987797544,0.07720913256296488
274,9.471,45.441,1.8612945250539428,0.49523315734414036,-0.8494440670219373,0.045553807883077044,0.07635127652567202
275,9.471,45.507,1.8857298248079832,0.5082518069619231,-0.8623316342276042,0.020132967251486944,0.07160568508396115
276,9.471,45.573,1.7568690486332834,0.4415735868678405,-0.8499438871470562,-0.005639604224403967,0.06779910415038552
277,9.471,45.639,1.574988993170213,0.3627743245493179,-0.8035480731623238,-0.0332492208222611,0.06582299752332874
278,9.471,45.705,1.3040422671375678,0.3731035613297262,-0.6478182588164862,-0.05026605547669513,0.06623981748825852
279,9.471,45.771,1.3052348753924174,0.4042607736631371,-0.4361775412072813,0.03955305869864111,0.06624065238537535
280,9.471,45.837,0.841712229712163,0.23160447085327418,-0.4683866975081663,0.5692670009936065,0.05193462879734942
281,9.471,45.903,0.4152447660680637,-0.07206860448590342,-0.4695304128604571,0.6909911448950926,0.012516624489307598
282,9.471,45.969,0.0836431077512683,-0.2004361581203626,-0.4394360708517192,0.6082128184125497,-0.03852256277194001
283,9.471,46.035,0.4811989271328413,-0.24800880841525152,-0.41014448254690017,0.534729934293166,-0.07271478656495975
284,9.471,46.101,0.3445359664500553,-0.32394043572283626,-0.3868825710675845,0.4681969039289783,-0.08330771878272926
285,9.471,46.167,0.3417753458820211,-0.40358692520679484,-0.3843007028899074,0.4679648567655218,-0.0805572035458674
286,9.471,46.233,0.3823160180851995,-0.4601384852313044,-0.39574322004956897,0.4746233074432389,-0.07753647503137555
287,9.471,46.299,0.2389744304125755,-0.5028820945952314,-0.40295433145771814,0.5011206984904226,-0.07355438051234833
288,9.471,46.365,0.1661284838018646,-0.5208398518750379,-0.4032950890555551,0.5216953511291315,-0.07088936017064928
289,9.471,46.431,0.114389431271747,-0.5377330032695633,-0.40235292413382784,0.5424729714640295,-0.06906205943698163
290,9.471,46.497,0.0842795135092286,-0.5387648758738742,-0.40259331857896447,0.552681061194567,-0.06763786933739802
291,9.537,45.111,1.2436710123640968,-0.0522240265334385,-0.6047952569776451,0.01945061351063919,-0.04222966780172241
292,9.537,45.177,1.4407346959933829,0.07153251254795767,-0.6604211411848717,0.08006402820264764,0.012850788882130005
293,9.537,45.243,1.6352410553384278,0.224423986392787,-0.7242116149484363,0.1639698555805219,0.052677663476157315
294,9.537,45.309,1.7274219200609446,0.3265222594225412,-0.7787403646106741,0.12342517921546367,0.07229350827731004
