fid,X,Y,f,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
601,10.395,46.497,0.0172413793103448,-5.014189144115786,2.0570886784152917,-0.18012116123569696,-0.7180109155400849,-6.22430603585935,-1.2040747703863857,-0.4960712154269612
602,10.395,46.563,0.0172413793103448,-5.018787683199714,2.0706360811772586,-0.19060330998900232,-0.70273432751794,-6.241116428705918,-1.2548213750574737,-0.7069882436333724
603,10.461,44.913,0.396551724137931,-0.5590987387136207,0.9413546135125239,-0.7712305584737689,0.30771390662934317,-0.264030434892339,-0.09781056674322983,0.10648211022648832
604,10.461,44.979,0.4137931034482758,-0.566783925023264,0.9567293692714758,-0.7946974605003179,0.30271984475344105,-0.2581450148582379,-0.06985695745344003,0.09069872807411508
605,10.461,45.045,0.4310344827586206,-0.5918541312900839,0.9648782282708013,-0.8197970835062999,0.3037818386130183,-0.25722836300799984,-0.05896048014189187,0.08237796757299848
606,10.461,45.111,0.4482758620689655,-0.6319917665859589,0.9702409168569311,-0.8517629124743282,0.2948130452316823,-0.2609773654120201,-0.052036947450969415,0.08541284975201648
607,10.461,45.177,0.4827586206896552,-0.6921798467631989,0.9736012230751548,-0.8913811133724219,0.2622691179104326,-0.24704572816390447,-0.04915433427599964,0.09854174057837926
608,10.461,45.243,0.5,-0.7685220516356766,0.9793762455871569,-0.9444937384998576,0.3610799093242985,-0.25485786342314404,-0.04359915788691317,0.1942616920838705
609,10.461,45.309,0.5517241379310345,-0.8738806041415244,0.9833028395053175,-1.0040361498672343,0.3268132856150301,-0.1875507395907823,-0.04178274845796029,0.1998616984480655
610,10.461,45.375,0.5517241379310345,-1.0133437972771846,0.9764798268216348,-1.0715065345074963,0.33277574707731017,-0.20942113200013385,-0.05209007161266782,0.21231767730069298
611,10.461,45.441,0.5172413793103449,-1.1928241555940167,1.0005575427822837,-1.1543583058448026,0.3547974869053375,-0.3344414420786827,-0.047224734156130085,0.25248615897995164
612,10.461,45.507,0.4655172413793103,-1.4435120014274905,1.01584034801142,-1.1822802313930048,0.33869598581635507,-4.53524293392252,-0.041774589664761816,0.2814331112028634
613,10.461,45.573,0.3620689655172414,-1.7327886217004886,1.2699884356948425,-0.7549323164788964,0.2837129454940316,-5.142370516159205,0.02727610275443393,0.32312005048761294
614,10.461,45.639,0.2586206896551724,-2.072262499050217,1.480944868804606,-0.20697034317092827,-0.055176879109559214,-4.91094376809103,0.13807790809662646,0.3481735276373364
615,10.461,45.705,0.1551724137931034,-2.4382599862829712,1.5616387037061252,-0.17510027708648876,-0.19011606928253127,-4.92315468651525,0.1841083130632628,0.22338127321422474
616,10.461,45.771,0.0517241379310344,-2.7696835862814435,1.6361985895237106,-0.16553752446602993,-0.2317518888178856,-4.933697475964571,0.1784808271983246,0.17187834760769394
617,10.461,45.837,0.0172413793103448,-3.087536768983351,1.7217436689364058,-0.15129408983819187,-0.30974642603453456,-5.200246185166579,0.11796501534867762,0.11111708264302331
618,10.461,45.903,0.0172413793103448,-3.411894165234661,1.8145066836995243,-0.135503420160262,-0.42826098093485265,-5.507752528901499,-0.00301260475905259,0.04030816640051632
619,10.461,45.969,0.0172413793103448,-3.828549160597615,1.9240511064410408,-0.12674210185423482,-0.5893521101322993,-5.909972858482803,-0.18355831220710844,-0.02303645580927577
620,10.461,46.035,0.0172413793103448,-4.287859815238221,1.9724475328555968,-0.0954433820093597,-0.7786172202756003,-6.037449239208163,-0.40240542864362366,-0.11407864860910555
621,10.461,46.101,0.0172413793103448,-4.578817466526061,1.9606907290616493,-0.0682481033770672,-0.8619802059158342,-6.087152097806988,-0.5203396975200241,-0.17576608199734808
622,10.461,46.167,0.0172413793103448,-4.7495488440184594,1.943266032286356,-0.05953377164994867,-0.8742684990836669,-5.992917884388778,-0.5892191420617539,-0.20831749353218662
623,10.461,46.233,0.0172413793103448,-4.85479177396069,1.9198016163792024,-0.05374471446565412,-0.8672434436461782,-6.005054392053313,-0.6688064979225259,-0.23211957829413307
624,10.461,46.299,0.0172413793103448,-4.926945511979805,1.9060597828325254,-0.056726618968088116,-0.8369060918976909,-5.916567275818327,-0.7485021011373265,-0.2335041247104401
625,10.461,46.365,0.0,-4.96953268996098,1.8972122932832893,-0.06024893647728027,-0.8050462224994098,-5.847589405080143,-0.8395921525871137,-0.23633761037108222
626,10.461,46.431,0.0,-4.991308701702099,1.8972476622168126,-0.06630302598536081,-0.7781524262752816,-5.876077831332498,-0.9360874055623634,-0.24840357494026744
