fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
86,8.877,46.101,0.0823529411764705,-3.6970964707216787,0.9687694823544597,-2.893546885461698,1.2003871934724675,-1.70409477764697,-5.552934610215347,3.6872543245529306,4.025245575900415
87,8.943,44.913,0.4235294117647059,0.31446133721875275,-0.2777662226014158,0.42570823351454357,-0.9092627370253232,-0.8156072587193758,-0.07393048576430045,0.4603550213477877,-0.05526979291157649
88,8.943,44.979,0.4588235294117647,0.31526388012121476,-0.27628310440167947,0.47746333075130976,-0.9181268777858471,-0.8574113469854558,-0.07360609516182931,0.47611367624535317,-0.05524520919703835
89,8.943,45.045,0.4941176470588235,0.3117127729649548,-0.264040141712069,1.0387995535968488,-0.9623102479773216,-0.994966014573055,-0.06987097076037754,0.4782463557938561,-0.04895805363532224
90,8.943,45.111,0.5058823529411764,0.25800735787163265,-0.2647577040165927,1.216877801286712,-0.9486248937775312,-1.153711543165376,-0.06480814640235544,0.44951987244593034,-0.027927386929869635
91,8.943,45.177,0.5176470588235295,0.1611361168111144,-0.2580843455735379,1.2112557624310125,-0.9146636910201809,-1.1715737760830676,-0.12003183779713048,0.11107049059105839,0.07411935678597197
92,8.943,45.243,0.5529411764705883,0.02239136948818221,-0.18053091963008716,1.1629991607783954,-0.7947243787249607,-1.082801340345982,-0.28023680055229927,0.9879943687485676,0.16819609737858643
93,8.943,45.309,0.5529411764705883,-0.14549030724221115,-0.012261326171506125,1.1375808045357405,-0.5836956927644459,-0.8089376994057507,-0.39204547398929146,1.1572301242088416,0.2926682683811564
94,8.943,45.375,0.5882352941176471,-0.38597678801770774,0.1024288067354791,1.2070754239314778,-0.33857165637002706,-0.37187277476472974,-0.7007939560612247,1.199829545901796,0.3260620537542326
95,8.943,45.441,0.5882352941176471,-0.717458249628431,0.08374692236908417,1.2134180550016649,-0.15728814878526917,-0.35501142082725823,-1.0739431426818502,1.177636945480313,0.3282689118114086
96,8.943,45.507,0.5882352941176471,-1.059888347164009,0.10687338370320931,1.2385523161819953,-0.0640099776895739,-0.3336063548369194,-1.0846859685934374,1.2823329989957313,0.3663485428511668
97,8.943,45.573,0.5882352941176471,-1.4158481045375453,0.232443369409021,1.2638419751354593,-0.010279906688523646,-0.3141095464264377,-1.1334965590777375,1.6679219224417874,0.39381661160150283
98,8.943,45.639,0.5764705882352941,-1.7114832638429351,0.010946331738065692,1.3368728119954834,-0.17387222114885498,-0.24222993107841426,-1.0662963332443405,1.8177985805563774,0.49059427244013654
99,8.943,45.705,0.5058823529411764,-2.191159141433831,0.7134253063683207,1.400931250934691,-0.5949031333398429,-0.1488513279568684,-3.4515698756898896,1.755726717267498,0.5380124929515635
100,8.943,45.771,0.5058823529411764,-2.948794833496318,1.9893123128024368,1.4098404081055906,-0.4602971043327702,-0.0871451643304835,-7.080573452041818,1.4092535382827531,0.48371468267982
101,8.943,45.837,0.4117647058823529,-3.808101101055234,2.846254652591372,1.295854549422055,0.6306166271441918,-0.45472247208515193,-7.8834998780817,1.129143359158872,0.2586581135579711
