fid,X,Y,I,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
56,8.811,45.309,1.0655005653523129,-1.4177758970286432,1.2067656779854117,1.4485790661847004,0.042388203068880095,0.2648330915694905,-1.007269409676801,0.6888455534886261
57,8.811,45.375,1.168796314773103,-1.6521509532260419,1.367769577325069,2.209312835080837,0.0475840875264707,0.26487971450797654,-1.0488867314089485,1.0630029632674425
58,8.811,45.441,1.2963528091434229,-2.085194964370112,1.6010129088683054,2.3877870368758534,0.11745548247959102,0.2649241586675267,-0.43668224494855407,1.4825001109382852
59,8.811,45.507,1.367553283819542,-2.722801147348438,2.0461812609717174,2.309084069632164,0.2617154465308575,0.26496653119870395,-0.4609520459645783,1.9009691243776785
60,8.811,45.573,1.3724188692285544,-3.3121750986571454,1.727934578638135,2.347814104347595,0.3960612099600165,0.26500693430977607,-2.4793851590678346,1.6076185735796285
61,8.811,45.639,1.3486903755431805,-3.9633734694169775,2.214594261115615,2.3675831383961086,0.32255368321097716,0.2650454653889623,-6.258378752307687,2.0540064007534937
62,8.811,45.705,1.2296356493035814,-4.865493021362398,2.9024340514940565,2.2533454244850812,-0.037982451300146436,0.26508221714451097,-7.62063560022706,2.7556920713802437
63,8.811,45.771,1.067954506327952,-5.520432688911487,3.0784401533662837,2.1318502245561644,0.8585091701896304,0.26511727775791444,-10.277331801655698,2.927825902007222
64,8.811,45.837,0.8912680569337228,-5.842912992588245,3.0130327723333523,2.11812083610409,0.4152408235776649,0.26515073104634673,-11.837984930207284,2.6021291229749224
65,8.811,45.903,0.5730151102374367,-6.092938373173828,2.9382360109190424,1.8928083007326735,0.4933445859901998,0.2651826566310598,-12.308272146713117,2.321555364837483
66,8.811,45.969,0.3772008059582993,-6.1320584121547155,2.7481233791067643,1.541807799321539,0.5142452593930505,0.26521313010907055,-13.510619812632164,2.0040253093982923
67,8.811,46.035,0.3246813140031515,-6.176985781981842,2.6431369643133245,0.30867084995094884,0.4493062708421248,0.26524222322594165,-13.570629813888369,1.9266792008720324
68,8.811,46.101,0.1363428345865545,-6.223673743048619,2.6099677580167766,0.24268379964343256,0.4221393604366772,0.2652700040478797,-13.63126870489066,1.960146759811473
69,8.877,44.979,0.8367919161071139,-1.0989894077306528,1.2749625823597013,0.04355760801191308,0.013530723974730147,0.26451813337600544,-0.08487947777825895,0.361531597414444
70,8.877,45.045,0.883683895380702,-1.1222059208958326,1.2474355956251508,0.5663967764192411,0.02541368886641158,0.2645811966225263,-0.09981827708056737,0.4651729634264439
71,8.877,45.111,0.8802972059025196,-1.1696298419265487,1.2493900517842669,0.610729759716024,0.03300467721779998,0.26464148546697863,-0.15751390858914766,0.013380485247286078
72,8.877,45.177,0.920912831375197,-1.2693900670156242,1.2633630761952463,0.6141640886806299,0.04352485752266184,0.26469881966824044,-0.6965991738578052,-0.6680105007850454
73,8.877,45.243,1.0078883294545329,-1.3937870260529768,1.3392020615850968,0.6660231691778149,0.050061516952082816,0.26475334692717145,-1.1602831854488567,1.1644643874240406
74,8.877,45.309,1.125176344547401,-1.5737641256515136,1.5131629708688399,1.6169055590681933,0.043384073226384046,0.2648052087996292,-1.5610414236379575,1.803995238528687
75,8.877,45.375,1.2326435385424412,-1.8728251573621661,1.7250417022250937,2.1063135207781762,0.11197312441400976,0.2648545406662181,-1.4038273421229643,1.8871978219676013
76,8.877,45.441,1.3687777776164225,-2.3174967026570266,1.870333944395155,2.2162003170476474,0.23378173179712852,0.26490147176547724,-0.9364014996634997,1.7646639007403744
77,8.877,45.507,1.4687205769116434,-2.886718521793523,2.0843912546451175,2.214216963061882,0.3873059346736747,0.2649461252777351,-1.080981041220921,1.8526983631143725
78,8.877,45.573,1.4890533938451278,-3.3730083795054906,1.97379026895067,2.282870278047409,0.4483510602329186,0.26498861844879257,-2.1223250409189744,1.064814996903496
79,8.877,45.639,1.440553749249981,-3.808087767722666,2.4177351992787495,2.36204360144621,0.31270312981802806,0.2650290627443182,-3.2000835822355196,1.3888647622579926
80,8.877,45.705,1.3146898729250045,-4.536560709101478,3.1385058543112687,2.339327944797715,-0.21645700553454134,0.2650675640273008,-7.860291948820983,2.0213485904580013
81,8.877,45.771,1.1248525357452173,-5.302812158767677,3.588728548200514,2.2363020929076347,0.16909616947003497,0.2651042227521971,-10.530034658189452,2.29281709622032
82,8.877,45.837,0.9046240206612334,-5.846824254637599,3.74684097359661,2.114807925339774,0.01628653639351313,0.26513913417050805,-11.833657948033462,2.045664210413199
83,8.877,45.903,0.6136105365899996,-6.1401150471065575,3.62365230945659,1.8509428727355608,0.1815274522821496,0.26517238854345027,-12.593343059597936,1.6432156592249418
