fid,X,Y,f,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
383,9.801,45.837,0.3058823529411765,-13.275850967989209,10.611970758346596,3.64958451497544,1.0899055946192147,-3.2015108892743456,-28.2889650899071,0.5755727144123897
384,9.801,45.903,0.1647058823529411,-14.746602309518684,10.307428602297174,3.29028721836542,1.3074424305227945,-3.296563993688918,-29.9792818952388,-1.052305984383552
385,9.801,45.969,0.0705882352941176,-16.111101782512897,10.032784062565867,3.1418355084618583,1.2619751315563366,-3.3076619816302983,-31.117180333160135,-2.4384970296196924
386,9.801,46.035,0.0470588235294117,-17.10179871477554,9.85181355404512,3.0548056587803245,1.2228263705437785,-3.172349203399003,-31.99511013673589,-3.820906978524265
387,9.801,46.101,0.0235294117647058,-18.265594951816592,9.671010366755048,3.0274408857516155,0.6413468310911041,-2.7501346230345267,-31.83813771591231,-4.477318209308943
388,9.801,46.167,0.0117647058823529,-18.558612182620465,9.397461649839531,2.9177218578750637,0.3063509249741908,-2.1234559288980983,-32.26874449596313,-5.799012745138308
389,9.801,46.233,0.0117647058823529,-19.0200716078506,9.023077229462864,2.6344407622964456,-0.2702382069120946,-1.6504538686081054,-31.9286039592277,-6.269604585233156
390,9.801,46.299,0.0117647058823529,-18.655445032837996,8.698496654309219,2.3617667386994263,-0.18961319424151057,-1.5030865501303659,-32.36833994943116,-7.2489189970640835
391,9.801,46.365,0.0117647058823529,-18.51196553204759,8.55882194122223,2.221358192746985,-0.1941883600860556,-1.5019670297770848,-32.19350591383907,-7.288946682928241
392,9.867,45.045,0.5647058823529412,-1.4991825166837862,1.4491958231490987,1.042943647363633,-0.5182115572962576,-0.5248627901820343,0.1447072923016097,0.21707656012190085
393,9.867,45.111,0.6,-1.5415712338514989,1.452222812272654,1.0675051527187447,-0.5628891102600192,-0.4759947200371672,0.13711412531825792,0.22427003123551337
394,9.867,45.177,0.6235294117647059,-1.6602529117935076,1.4722655002318321,1.2104521333566416,-0.6098074845024078,-0.3156775775395879,0.12584389397096252,0.2579983340819162
395,9.867,45.243,0.6352941176470588,-1.9045006087555905,1.5153619264674774,1.3402148523833208,-0.6325005705763087,-0.12343106650396944,0.08434308106049605,0.29117534720327276
396,9.867,45.309,0.6588235294117647,-2.2190830649572497,1.5875392758578006,1.4706317684916868,-0.708968346747585,0.33948459519330915,-0.8365747891350721,0.3467553391587696
397,9.867,45.375,0.6941176470588235,-2.661159055098947,1.668171207459296,1.902789816738031,-0.7961083670863748,0.3523271396156987,-3.091940412407285,0.40868740516777413
398,9.867,45.441,0.6941176470588235,-3.359243841193857,1.7653829529773621,3.7176362605804343,-0.7764353533492218,0.4447144642588089,-2.6058468525569225,0.43131566821504486
399,9.867,45.507,0.6705882352941176,-4.075476781614679,1.8507355073954364,4.108853348699375,-0.874940544034528,0.3959561643808476,-2.6069737204729635,0.5408588673268069
400,9.867,45.573,0.6352941176470588,-5.150716396892807,1.9514166455032362,4.437715018404073,-0.6197273350028477,0.5118321592213688,-3.6622332720106097,0.4735469911916572
401,9.867,45.639,0.611764705882353,-5.9566516756706225,2.977613363644257,4.774927650284379,-1.7670670678356624,0.6844633424107636,-11.956198148431778,1.4104976796923854
402,9.867,45.705,0.5176470588235295,-8.675519956841253,8.66341775632581,4.894387784735841,-0.3253060884792414,0.6541234033711625,-22.36663608839656,3.4486637270787135
403,9.867,45.771,0.4117647058823529,-10.938110521025845,9.189117500570298,4.3479020744674335,1.4851725798493267,-1.2512777002414586,-24.633731348323753,2.448488586449983
404,9.867,45.837,0.2823529411764706,-12.723557140469852,9.257983653373213,2.7644117929048995,1.5203018552979737,-3.103398090961287,-26.037609773614804,1.5209003854708092
405,9.867,45.903,0.1529411764705882,-14.276194970383735,9.120490718299688,2.5067402377388524,1.5723905084847942,-3.3407198703584937,-27.29305094610657,0.46034350795118906
406,9.867,45.969,0.0705882352941176,-15.56931303468965,8.933917464496112,2.357261602876245,1.5778362770082155,-3.3705862372958975,-28.313905497692062,-0.6423404629122832
407,9.867,46.035,0.0352941176470588,-16.49910087757836,8.788797038110234,2.2300418592548765,1.5825876587522403,-3.2882990376544687,-29.157165985348797,-1.7876861590300526
408,9.867,46.101,0.0117647058823529,-17.453282727363124,8.624259700207432,2.1176755793484965,1.2008136500277737,-3.009077515673291,-29.253626791512403,-2.4463495576855214
409,9.867,46.167,0.0117647058823529,-17.761280896773044,8.380840233227861,1.9590964436851537,0.9501929044448558,-2.562581780174238,-29.676045735052007,-3.5437100187271735
410,9.867,46.233,0.0117647058823529,-18.1680051958163,8.073719223558651,1.7244131591872924,0.460470030869485,-2.150452488623653,-29.46544678365364,-4.00786507685718
411,9.867,46.299,0.0117647058823529,-17.898731593212137,7.816005063599233,1.5421739960963026,0.4666269967647236,-1.957968387257039,-29.873270693497993,-4.895253575987137
412,9.867,46.365,0.0117647058823529,-17.87787138529167,7.732652353816414,1.4984635782388973,0.32259386296957776,-1.87691808028107,-29.687166949278364,-4.97580991041205
413,9.933,45.111,0.6235294117647059,-1.5657929483754534,1.3793278345257747,1.0413781502536752,-0.7166797696021301,-0.3246331814102078,0.10522618574869985,0.206253195853196
414,9.933,45.177,0.6588235294117647,-1.6593267118469162,1.4045498145187683,1.1687100068491274,-0.7534020071674686,-0.2818793143443445,0.15003054772601393,0.24506778533386137
415,9.933,45.243,0.6352941176470588,-1.9352212042313086,1.4447474596545034,1.3448553098831975,-0.7474694847203236,-0.1990152247102962,0.1377886225983613,0.25974997557123786
416,9.933,45.309,0.6470588235294118,-2.28986836706593,1.5052157227475047,1.407478424143148,-0.8027565990872644,0.05363640157816329,-1.3458374316936847,0.29549697174621686
417,9.933,45.375,0.6705882352941176,-2.758797286062994,1.5660186498344895,1.5552913518846796,-0.8898116699309475,0.10522979145103875,-4.956427179875963,0.3371568411876002
418,9.933,45.441,0.6705882352941176,-3.528153764973548,1.6275231905546104,2.5627209910026356,-0.83311952791849,0.2289671258562394,-4.933073429375021,0.3322898282565068
419,9.933,45.507,0.6705882352941176,-4.29266702326077,1.7094343841911588,3.089225515258901,-0.9610241233992789,0.24717833810431364,-3.4603613190771463,0.4456724659667154
420,9.933,45.573,0.6352941176470588,-5.652046369560347,1.7741617000530323,3.3959635730075894,-0.6255046519464259,0.283984212916485,-9.693681221441537,0.3801870469210978
421,9.933,45.639,0.611764705882353,-6.835735180592104,2.9179775211105534,3.809250740014123,-0.7802044138091602,0.42967100032954425,-19.07839116476771,1.0629594883426063
422,9.933,45.705,0.5058823529411764,-8.706755705383074,6.173191167318103,3.9944718378030792,1.3592385189595055,-0.37500694400098894,-21.024376021507337,3.3165969468429433
423,9.933,45.771,0.4117647058823529,-10.556775134617048,6.822138389506631,2.7580072708637324,1.4738097079200998,-2.3370873541097987,-22.35139312940196,3.104377349951916
424,9.933,45.837,0.2823529411764706,-12.289190619597385,7.351561574292344,1.6845067397863787,1.5692354443721848,-2.898728324399101,-23.32985194043094,2.6682975676466145
425,9.933,45.903,0.1529411764705882,-13.597489624199058,7.616135294014638,1.6077211701981868,1.812900071455224,-3.1894340718692664,-24.575927543180455,1.7520902699495144
426,9.933,45.969,0.0705882352941176,-14.75043358419882,7.618840347780823,1.4480165424949567,1.8510723721709816,-3.2894883579929965,-25.5444093858614,0.847449384296548
427,9.933,46.035,0.0352941176470588,-15.683002821736633,7.567548690727422,1.30453867601533,1.8177787411853878,-3.234340714463608,-26.229947278937054,-0.003298650558266225
428,9.933,46.101,0.0117647058823529,-16.528310251699732,7.463125614118955,1.14266494690126,1.5240760763755452,-3.04041939086101,-26.402473735873144,-0.5851026796337004
429,9.933,46.167,0.0117647058823529,-16.822084886940353,7.285180414123709,0.9592846070716254,1.3275169772640354,-2.735468860058595,-26.81798044716419,-1.509298639642638
430,9.933,46.233,0.0117647058823529,-17.20496241836236,7.03942568022774,0.7824262955349381,0.8465495933419966,-2.4126665009678057,-26.644430144164183,-1.9096768094174816
431,9.933,46.299,0.0117647058823529,-17.00654247849447,6.791995112262548,0.6448509043242057,0.7824302520463244,-2.237582472252721,-26.97260941330795,-2.6426466317583692
432,9.933,46.365,0.0117647058823529,-16.917451866588824,6.713101479345324,0.6220241331905545,0.6777456766116012,-2.1553096624152923,-26.92239843517257,-2.8512686962882
433,9.999,45.045,0.5764705882352941,-1.4561078195178054,1.2050525341078773,0.9738856161481257,-0.8096569196593221,-0.23686966116833777,0.1524267033294713,0.1539288998334745
434,9.999,45.111,0.6235294117647059,-1.510720882304325,1.2552944688787262,1.0034069584344543,-0.8141807113023166,-0.2564527861134342,0.11991914052526911,0.18135508896574865
435,9.999,45.177,0.6588235294117647,-1.6471723801536853,1.3063573151383823,0.9303555180738187,-0.8319417871306058,-0.25905396315392054,0.07536479629388532,0.21347050620232166
