fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
240,9.339,46.167,0.0153587729169386,-0.5467003551654207,0.6925761712265266,0.3149003901697001,-0.48927021598490594,-0.05705441494707012,-0.08504327326937976,-0.6941446172908028
241,9.339,46.233,0.0079104155775996,-0.5740685570022626,0.6066932377491756,0.23677967434123756,-0.4540771950093505,-0.0017307462706447007,0.062071642153944236,-0.7255939455896625
242,9.339,46.299,0.0036713732494595,-0.5863673084965073,0.45573476242399386,0.18089613474322602,-0.435248935064112,-0.02771798646024445,0.09098720204352687,-0.8681337019006482
243,9.339,46.365,0.0026806778558975,-0.6023069031868964,0.3999625986562266,0.1634379380910905,-0.43397967057090886,0.02419215216931768,0.18342998742599348,-0.87508166620508
244,9.339,46.431,0.0020265498432386,-0.6147422294983093,0.33520636927260367,0.1544817827101621,-0.434290927779012,0.011111576212574137,0.19299191818593042,-0.9227426377016047
245,9.339,46.497,0.0015489586857475,-0.6240337768882783,0.34711292212162664,0.15676984805450345,-0.43745580653265204,0.03852010100352865,0.23036825611453554,-0.901863843579279
246,9.405,45.045,0.4367100279162959,-0.13369352660918205,-0.41726647742342016,0.7216403178023897,-0.9624732041315821,-0.0874551817595833,-0.13490385297385066,0.9483980991711347
247,9.405,45.111,0.5962171989264384,-0.14673251033725593,-0.3789260886037019,0.6510057644037193,-0.9990326694209997,-0.0429877892217241,-0.12639980811413587,0.32495361310480303
248,9.405,45.177,0.7574925504039838,-0.13908351445618394,-0.330830425972527,0.22845642475235067,-1.0389614733234063,-0.07224483256605573,-0.07918144876105017,0.3220206122749132
249,9.405,45.243,0.8713050836946185,-0.12582558819085077,-0.3069880324950949,0.2064369547110384,-1.0705041280479022,-0.043675707050003905,-0.061514890740571454,0.3185569897098054
250,9.405,45.309,0.9921841162207864,-0.10287958206657773,-0.25426135912054515,0.22206075123812968,-1.10597450286715,-0.03569989897140014,-0.1299815010416402,0.33173330664187617
251,9.405,45.375,1.0695990117895189,-0.0761113212049097,-0.16890899419628547,0.218695745461174,-1.144043618955965,-0.04767990469580667,0.0784421570144227,0.36036729787161204
