fid,X,Y,Ex,Intercept,AGRI_AREA_SURR,BUILT_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR
178,9.207,45.573,1.444515365008553,-0.4578522474013658,1.1648628680426962,0.6204407497991966,-0.9966992347637483,-0.2844263371248488,-0.7639896670596522,-0.1033950638321705
179,9.207,45.639,1.4272022572102063,-0.5628045942534169,1.348422763367914,0.617637193062251,-0.9902931115713568,-0.28566732236512615,-1.4155431276101471,-0.21032870739411744
180,9.207,45.705,1.246908639388556,-0.7080904472399979,1.7747399118300184,0.6022336170581066,-0.9144878773538675,-0.30439169570331426,-2.0674222828257425,-0.25455257394621567
181,9.207,45.771,1.0183349214246946,-0.8282365545532211,1.9527239355669095,0.5899436221157104,-0.9007859417208557,-0.327113749383534,-2.7856634725863794,-0.7950054039333785
182,9.207,45.837,0.6420432831467836,-0.9366680293649245,1.9617409221317788,0.5983944171849466,-0.9879206031410929,-0.28877841644076585,-2.971766716375261,-1.0318208600899512
183,9.207,45.903,0.4003172813324369,-1.0470709248924437,1.9517040293231154,0.7720068091848894,-0.9610394021173058,-0.20295300815952344,-3.238993111423029,-1.3352669123407712
184,9.207,45.969,0.2463290134264456,-1.1633949407435735,1.9486759935481937,1.0094938080450975,-0.9662468533360775,-0.1357163786501711,-3.3092589004544797,-1.467135658124799
185,9.207,46.035,0.1515914813772014,-1.290231786700399,1.9487660840327146,1.0248095854707095,-0.9842691844746035,-0.06418696251760929,-3.3355499077712705,-1.6137901179377867
186,9.207,46.101,0.0463125783228874,-1.3789300995106901,1.908596026424293,0.9538550812854286,-0.9615434720074201,-0.025899927855834365,-3.3560639273128476,-1.8011938494713386
187,9.207,46.167,0.0047534583322759,-1.4430921974810889,1.8524502574788961,0.8836794292930317,-0.9506886011060736,-0.00420374155071037,-3.5443326707223886,-2.1771330074795303
188,9.207,46.233,0.0,-1.521876559085472,1.8119453960379668,0.8521921300345845,-0.9644141911331581,0.04700694039633095,-3.6524702630310886,-2.4950977077225454
189,9.273,44.649,0.0,-0.09018231452020524,-0.4152734159578978,-0.04438197309635669,-0.42226237867679384,-0.2206042099873421,0.45574241733216647,1.1865757253217215
190,9.273,44.715,0.0032352740527186,-0.0909976610961982,-0.4144046573355013,-0.04481843007545541,-0.4225786559328315,-0.22082697942583296,0.45448067822242083,1.1853724972983568
191,9.273,44.781,0.0302531468922737,-0.09481438149798013,-0.40814615750493144,-0.049400314925768365,-0.4242735548617087,-0.22398946006560427,0.47730083900076037,1.193395848494172
192,9.273,44.847,0.1258847542858092,-0.1043980935743764,-0.35810240560376094,-0.06368333100876175,-0.423471560964876,-0.23417588979391313,0.446339697401093,1.1728417180604178
193,9.273,44.913,0.1786623499320525,-0.1378932348737252,-0.2528245086774271,-0.07397965416453336,-0.6103335848238478,-0.23486868390699314,-0.01681429422258888,1.1783149832223494
194,9.273,44.979,0.2889119055901671,-0.18941412650881587,-0.23008479333642942,-0.05563129067129736,-0.9244788429583766,-0.21742384718976027,-0.04261051588005582,1.228352382228256
195,9.273,45.045,0.5472840930532136,-0.23009880791699544,-0.20876217462273755,0.023226364513132793,-0.9522359380803631,-0.1972533075023836,-0.020672996568999923,1.1587142358732714
196,9.273,45.111,0.7725799553252474,-0.2615731794485989,-0.18806331400410636,0.11344161922086778,-0.9675650873142408,-0.21056166882988697,-0.011983399759699795,0.9633380989105556
197,9.273,45.177,0.9784908099739256,-0.2838253923603158,-0.16120316854139374,0.38463949774929856,-0.9872925442607978,-0.2224457794594152,-0.0538577600709768,0.45498895716390375
198,9.273,45.243,1.1550939440781822,-0.2892799731103812,-0.12501828461667777,0.6159151185442205,-1.016369452892966,-0.2723119664111231,-0.07331853861998432,0.3644258649634902
199,9.273,45.309,1.2620348113130526,-0.301314869187315,-0.08807328984974924,0.6113475688268983,-1.034391956096858,-0.2897064560996623,-0.29366469038013904,0.34110529509731463
200,9.273,45.375,1.3477820371175817,-0.34995029422964213,-0.036870276472577165,0.598751589476467,-1.0173279765848509,-0.30014905063394126,0.21454673359171356,0.3843888161788239
201,9.273,45.441,1.3674515395761049,-0.40012107122356705,0.3964527103948886,0.6086297690907556,-1.005555856570459,-0.2940281340249669,-0.2743266060093497,0.21682133228631417
202,9.273,45.507,1.4503781653891177,-0.4227344192929523,1.0353896893217627,0.6197744331718735,-1.0315696889147103,-0.2851155743996159,-0.34654994666430916,-0.23983315355663654
203,9.273,45.573,1.4911875462004531,-0.45590161321742817,1.1552987111429514,0.6263310614132211,-1.0623882920681602,-0.278822608939845,-0.32737806004904013,-0.22919331731383402
204,9.273,45.639,1.469818426081334,-0.5465896633459881,1.3667357363020256,0.6254774627766178,-1.0609661033803341,-0.2791357614885176,-1.01982216320063,-0.42753667868721495
205,9.273,45.705,1.2644721648639718,-0.6827990024584322,1.8740257688993496,0.6172873989126044,-1.0340863518944001,-0.2914291288716272,-2.2778869851687418,-0.5201755228227976
206,9.273,45.771,1.0556968365089032,-0.8501664275905614,2.0790737979245772,0.6009718426882923,-1.011601756892269,-0.32194715228200177,-2.8672416500825264,-0.8536355144903356
207,9.273,45.837,0.6877079187371378,-0.9975253737288754,2.067083205880228,0.5892719156951428,-1.0466515524448485,-0.3076701463204996,-3.05434062975732,-1.1024576514006652
208,9.273,45.903,0.4337344226178521,-1.1160145447847953,2.030129227152506,0.7669190344026459,-1.0148499419552457,-0.1736979930013693,-3.3238263926408456,-1.413574825978356
209,9.273,45.969,0.2636552379645626,-1.2384670305797214,2.0110463293323413,1.0348142144125645,-1.0179658683490855,-0.09255005272588276,-3.463871910686387,-1.6220353185092256
210,9.273,46.035,0.1619001314941166,-1.3812735314083493,2.004534333639632,1.0624820759314528,-1.043017240482166,-0.019640865205991634,-3.455658014252525,-1.7568189963531924
211,9.273,46.101,0.060657466781022,-1.5049048706078945,1.9723887557978477,1.0258344953742418,-1.0358441360710982,0.04797637279667934,-3.4430358506251495,-1.9441396052497446
