fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
67,8.811,46.035,0.3938972028823213,3.9777351027529906,-1.8100620934152651,-0.6345219431901039,-1.0829116583504403,10.9938078892873,-0.6111065297884926,0.4972800069078113
68,8.811,46.101,0.3815780383377663,3.9894431035163658,-1.7899380976196964,-0.6191927673009487,-1.0829561268641574,11.039291274024542,-0.6057146102608042,0.35093192700416265
69,8.877,44.979,1.1469335442577069,1.3402504064587015,-1.0385135245504162,-0.6724522245170685,-1.0819525987885137,-0.04153775571326401,1.3814171128403894,0.2673279829207478
70,8.877,45.045,1.3311755583229004,1.3575971018787651,-0.9975605436171515,-0.6892489798640202,-1.082024716208659,-0.01082863983719961,0.7170860889648774,0.20461248963299314
71,8.877,45.111,1.4284236437239402,1.3788339957298255,-1.0023422386303036,-0.6777116367018303,-1.082094168522164,0.08256347487634678,0.33749266392739996,0.18491692465306775
72,8.877,45.177,1.531777469322679,1.4091174709764116,-1.0349934422188247,-0.6404616021255585,-1.0821618602129794,0.07456022236898488,0.9157490350134798,0.20212759253271328
73,8.877,45.243,1.5495238868067365,1.5128521261981556,-1.058384234379091,-0.6418120951354546,-1.0822278098919598,0.237974932118621,0.1608874767602318,0.18931653998424114
74,8.877,45.309,1.592207452815425,1.6706866502363584,-1.1007743379390007,-0.6652107938165237,-1.0822920409681946,0.14412627927015303,-0.18162919404182357,0.17726249928524287
75,8.877,45.375,1.6558433125173129,1.8760457910318524,-1.155852927373838,-0.7123013378084364,-1.0823545808036794,0.25626552056703106,-0.17191880659170836,0.18513921477441156
76,8.877,45.441,1.648394286340563,2.106292624396227,-1.1994925705540664,-0.7385814293819841,-1.0824154599744564,0.4582073894382451,-0.10378980433384052,0.2316625688860755
77,8.877,45.507,1.6240833995223798,2.3336917209272467,-1.2883478861655628,-0.7448656134879081,-1.0824747116270155,0.4029751278514697,-0.11015986449914002,0.24744463397311117
78,8.877,45.573,1.5988910480176266,2.4596837094835076,-1.3778246128291243,-0.6773993347457199,-1.0825323709195351,0.8425156198003636,0.25907004148828117,0.14694051373714342
79,8.877,45.639,1.7142039539932457,2.607138265223104,-1.7705533009722383,-0.38343220798176325,-1.0825884745384793,1.8109696170989444,-0.041045994400973035,0.392398250657556
80,8.877,45.705,1.7417655644061991,3.027739702937108,-2.227625209852172,0.08911651553883665,-1.0826430602819077,7.01834292914652,-0.5578416522771126,0.4990121355141622
81,8.877,45.771,1.5521323985088005,3.5092557224659826,-2.4326711006310844,-0.23427628063037859,-1.0826961667016657,8.621304684805464,-0.915069407084445,0.4375108775831012
82,8.877,45.837,1.2107340779536973,3.8345613727607684,-2.373865611161789,-0.41266928450858076,-1.0827478327974593,9.22742381193272,-0.8853732792764609,0.4042448746790106
83,8.877,45.903,0.79418453059053,3.9907128749225453,-2.2165527879877747,-0.5628721020933681,-1.0827980977564806,9.9633045978612,-0.6939311445178519,0.37117369788894516
84,8.877,45.969,0.6087093580177901,4.00919265352296,-2.0531850914631136,-0.625115478754067,-1.0828470007329536,10.556679517684756,-0.534319614714644,0.3540145736965874
85,8.877,46.035,0.4097513172602585,4.005479712166046,-1.9254895684680684,-0.6254661964856494,-1.082894580662614,10.92622678759389,-0.5154144047489658,0.22745461820447846
86,8.877,46.101,0.3691752001987295,4.014399325724901,-1.8818108297697287,-0.6160346124815236,-1.0829408761076336,10.985925567255478,-0.5262393872564284,0.1607595922203396
87,8.943,44.913,0.836286734185094,1.428207485598565,-1.0697594132811423,-0.7443785370911817,-1.0818037481463456,0.010555223397821722,1.6793227169244844,0.28504851127233694
88,8.943,44.979,1.0627197308336798,1.4090643739573214,-1.0819458486788047,-0.6981963860907592,-1.0818829268932075,-0.008006995195218514,1.6679242635431932,0.2392785031045145
89,8.943,45.045,1.2669149199630303,1.4204120489278886,-1.0817836607603641,-0.6814447305030937,-1.0819594070149625,0.015401062994966961,1.5892118857590425,0.17637767917994812
90,8.943,45.111,1.402114719859216,1.433107743068852,-1.1216728129357796,-0.6457932014557226,-1.0820330387145942,0.026569040428953073,1.2044723838824145,0.16056037476913726
91,8.943,45.177,1.47890174912587,1.465248025176226,-1.1869612281840414,-0.5938313499912884,-1.082104741009826,0.08153565788714623,0.7466771625828648,0.16653850351418142
92,8.943,45.243,1.5087983451969618,1.5855794640770033,-1.2513568965627688,-0.6006215730775928,-1.082174532490433,0.3277302075056936,-0.12544973379578428,0.12433668602163434
93,8.943,45.309,1.612829093437767,1.7593721347789517,-1.3281960162345143,-0.6596928915600508,-1.0822424379022235,0.27144451630374583,-0.3820579593531176,0.08922242809281801
94,8.943,45.375,1.655716897466025,1.9826042444611305,-1.3786249430936703,-0.758550158734541,-1.0823084870392177,0.44331485083611266,-0.31522340215199945,0.05933145615381162
95,8.943,45.441,1.6934916249571743,2.223458121651282,-1.380741910672481,-0.8220164274020614,-1.0823727137805406,0.5192890845919199,-0.22274625320601854,0.013321439485529107
96,8.943,45.507,1.6693333586566823,2.420886118837677,-1.397813639424304,-0.8344801481077734,-1.082435155256158,0.5317247229096476,-0.0713357728581523,-0.06260797351405363
97,8.943,45.573,1.6149916747116708,2.4879145139944647,-1.4681006304195228,-0.7556753497490256,-1.0824958511268001,0.8513964446095347,0.5843394646652077,-0.15848036757464323
98,8.943,45.639,1.5076689741287248,2.482033390880824,-1.505102049401982,-0.4788124173775414,-1.0825548429648058,0.6993993013099551,0.56973157098525,-0.1139845864213653
99,8.943,45.705,1.82493634613609,2.694323050983286,-1.9194666703309673,0.16445611648105132,-1.0826121737237713,4.422602319499267,0.21923886395967182,0.12203058497359741
