fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
383,9.801,45.837,0.1896551724137931,-0.4882490609333172,1.1919787314389652,0.644862288780989,-0.47541079608963066,-0.25714971077328186,-1.0296111494201359,-0.621181519055021,-0.4307544834959435
384,9.801,45.903,0.0862068965517241,-0.5978642616534122,1.1957126078006253,0.7091122399525407,-0.48721920257734785,-0.20843554071360795,-1.006078992656887,-0.6353812578004853,-0.4185171291989575
385,9.801,45.969,0.0172413793103448,-0.6936703544593887,1.1825483161161352,0.7085251259989755,-0.4921770077983201,-0.16758546059701265,-0.9723666610084813,-0.6488435946333204,-0.4181278342732697
386,9.801,46.035,0.0172413793103448,-0.7694951644605,1.1393206153084556,0.6694874848857129,-0.4921442050543348,-0.17964621360935928,-0.983976337791944,-0.7099480966933147,-0.4377074255848503
387,9.801,46.101,0.0172413793103448,-0.8336817153190361,1.125948381921914,0.6838567372304164,-0.4955366380995746,-0.15210552851610135,-0.9441534724489906,-0.7276773841829755,-0.4310190067822284
388,9.801,46.167,0.0172413793103448,-0.8823265820467985,1.090231866126004,0.6714507154955454,-0.50020799106243,-0.14507116436697665,-0.9258779074585733,-0.7675598889447439,-0.4226302369363991
389,9.801,46.233,0.0172413793103448,-0.907979536165409,1.0506916335302967,0.6432615978017617,-0.49842236114931804,-0.14514913622823014,-0.8963031542613722,-0.7898102628756418,-0.3926199563227395
390,9.801,46.299,0.0172413793103448,-0.9146477128479527,1.0021061898010275,0.5894060463856714,-0.49514277818008723,-0.17301788162791965,-0.895290725927155,-0.8242068585171258,-0.3788302260949221
391,9.801,46.365,0.0172413793103448,-0.912100172238242,0.9831585525342283,0.5720882113027986,-0.4929597914325563,-0.17602466160108476,-0.8768158885884759,-0.8165937903365645,-0.3678246101972785
392,9.867,45.045,0.4310344827586206,0.030419824636819144,0.511032863067766,1.7743735605193236,0.11779968357413223,-0.840368679120086,0.024977756117562474,0.33620821122777067,-0.6321263149802681
393,9.867,45.111,0.4482758620689655,0.04625234917636095,0.5248501566000487,1.7411551356121446,0.13168678296164257,-0.8595803496018506,0.030661132438594467,0.346332823255341,-0.6266843646223871
