fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
84,8.877,45.969,0.0839599114507296,0.08521832979511534,0.6765214068489138,0.16737435192690484,-0.15445264218325216,-0.11531207868485788,-0.004412272048361004,0.26132913636461563,-0.0883815440261909
85,8.877,46.035,0.0423880673027853,0.07211298378875562,0.6834254595353053,0.33227538692580405,-0.14946631806733068,-0.117574212149965,-0.00829202909726427,0.27981106149863166,-0.31559345043678094
86,8.877,46.101,0.0190952689757963,0.05962093956061288,0.6922356674015759,0.35181559771814197,-0.15253539652807607,-0.11257792843305808,0.0007912346218156147,0.2943877139751575,-0.33150043469682067
87,8.943,44.913,0.259537262333305,0.165602774340446,0.7628830249098563,7.731839412223208e-05,0.6623414132574722,0.6867766669763873,-0.07646130947532527,0.6210762896719992,-0.1308344711935309
88,8.943,44.979,0.3481323256179295,0.17750301252169745,0.7716195419416443,0.07090788671890066,0.6522807797461148,0.592432606156947,-0.07557189816223317,0.6275285832763909,-0.1275887819763557
89,8.943,45.045,0.4368672137803553,0.19873260176727675,0.7835520652014156,0.5049227905022062,0.6357181107763271,0.041402665826962434,-0.0744659480475745,0.6248944179215398,-0.12308997743214106
90,8.943,45.111,0.507662226155923,0.22430308710592217,0.795746308537916,0.5511952638289302,0.6161232550000946,-0.07005199309690828,-0.07056067719346498,0.5964682269275512,-0.12003611154582669
91,8.943,45.177,0.5609627324270541,0.2527270946180755,0.8094083948788225,0.5571841260561436,0.5920400591346627,-0.039981341787692096,-0.05912891647257757,-0.06510110894627626,-0.06208515640015858
92,8.943,45.243,0.5983165851643124,0.2822553025321821,0.8361556911452046,0.5125660966398269,0.5535469265559196,0.00832286283350628,-0.0615721641539621,0.12556222184754845,-0.012918484346046841
93,8.943,45.309,0.6395701577425628,0.32298562331921077,0.8969233261151186,0.3799180401142543,0.4777209436996504,0.224534261442019,-0.057449287362534324,0.32882311296979083,0.06688079753902283
