fid,X,Y,f,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
277,9.471,45.639,0.6,0.521836418414479,-0.5727784547904825,-0.05956525344522074,0.06255805475288909
278,9.471,45.705,0.5647058823529412,0.5667979384352687,-0.5850144119710782,-0.051783992774753124,0.08438192685596954
279,9.471,45.771,0.5058823529411764,0.6020836156854026,-0.666553621229842,-0.04014781054432515,0.11048466762266515
280,9.471,45.837,0.4,0.5614166273713319,-0.76225379805019,0.03694772028569618,0.07579440538186871
281,9.471,45.903,0.2588235294117647,0.40763816359254934,-0.8632534508232206,0.18385360850670418,-0.1315656147770835
282,9.471,45.969,0.1647058823529411,0.23329053816762865,-0.9091631975050876,0.21004657742718394,-0.19862636316589077
283,9.471,46.035,0.1294117647058823,0.07799354630928854,-0.9332483927606867,0.21264308528989853,-0.21703855857026086
284,9.471,46.101,0.0823529411764705,-0.0804445493930734,-0.9794278456302709,0.24589163099851835,-0.2157774360010647
285,9.471,46.167,0.0588235294117647,-0.24215910929777154,-1.0542839283922585,0.31381940713946266,-0.19391087419997854
286,9.471,46.233,0.0117647058823529,-0.3522562080269511,-1.0879317778924364,0.31239120401759346,-0.23366185055507804
287,9.471,46.299,0.0117647058823529,-0.3576283893010874,-1.0606902413010388,0.2435097019753975,-0.2757650381374993
288,9.471,46.365,0.0117647058823529,-0.32635409487704525,-1.0368017596885755,0.20837531382139213,-0.2881523505945861
289,9.471,46.431,0.0117647058823529,-0.32001575575820745,-1.029959031275974,0.20432352204864235,-0.2866611915069143
290,9.471,46.497,0.0117647058823529,-0.3207507343738655,-1.0290806310144363,0.20822922574602495,-0.28308624010007577
291,9.537,45.111,0.5529411764705883,0.3349504018154772,-0.5115655430205474,-0.01413886154848668,-0.09157151449079973
292,9.537,45.177,0.611764705882353,0.3704538392617257,-0.5432484847177903,-0.08308216800683595,0.01346132159348442
293,9.537,45.243,0.611764705882353,0.4108904158687446,-0.5740236956798941,-0.09277331918539748,0.06284675955348121
294,9.537,45.309,0.6470588235294118,0.45755431368799365,-0.6091260143092914,-0.042937248387841756,0.08627207794617259
295,9.537,45.375,0.6705882352941176,0.4996235169346349,-0.6386882609891644,-0.024514001311468168,0.09179071450605114
296,9.537,45.441,0.6705882352941176,0.520730592191113,-0.6472887422277201,-0.03850164399428659,0.0784738196922597
297,9.537,45.507,0.6588235294117647,0.53345169299248,-0.6471297089305128,-0.05274253958757854,0.06562941450574841
298,9.537,45.573,0.6352941176470588,0.5334849700733517,-0.6298974036321067,-0.06681473591219422,0.05171299961601447
299,9.537,45.639,0.6,0.5434678419467576,-0.6018612944648014,-0.0735531534480503,0.053160800909147175
300,9.537,45.705,0.5647058823529412,0.5770796766981667,-0.6294859112666319,-0.06565633622920139,0.07445855125954384
301,9.537,45.771,0.4588235294117647,0.5993508134169708,-0.7440319661155319,-0.05257068275245148,0.09002453606278349
302,9.537,45.837,0.3294117647058823,0.5347804752759446,-0.8334131271154622,0.05659875078527607,0.009672235379118363
303,9.537,45.903,0.1764705882352941,0.36595004472808534,-0.9214053406632838,0.17217864421755874,-0.12789364881651394
304,9.537,45.969,0.1294117647058823,0.1880761318918667,-0.9665705253543752,0.21646350211636245,-0.16561435727795787
305,9.537,46.035,0.0470588235294117,0.04015083220338278,-0.9878409568564188,0.22564593886226514,-0.18214809665416512
