fid,X,Y,Ex,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
44,8.745,45.639,0.6935940291676477,-0.009969969490043525,0.40406452164914286,0.22224654229975233,0.042033386206834354,0.09347773232874677,-0.0021512974871921746,0.012911595151964755,0.0756907629154715
45,8.745,45.705,0.6258998380449101,-0.05041554890589149,0.43619553127075894,0.22883802823992033,0.24071525069537397,0.09701301034982734,0.014268110673656244,0.02313158110781413,0.07892145369581616
46,8.745,45.771,0.4916397686201186,-0.0869889917636254,0.4951344714414239,0.23573607591761753,0.3008549453831561,0.10052948898452145,0.010685404529853358,0.04708698707906351,0.08408684453728667
47,8.745,45.837,0.3779921368912677,-0.13317707960764516,0.569380672601906,0.25927174038023076,0.263399236982966,0.06476142498266112,0.007555895793028498,0.0790744665744126,0.08871708684746629
48,8.745,45.903,0.2131171956671654,-0.18570919215820667,0.6642742080734342,0.25596519550819685,0.18206448025788502,-0.2156003969501064,0.07440766268275845,0.1684162924182006,0.08655748954019815
49,8.745,45.969,0.1102875297294198,-0.2310285775520335,0.7087604848183904,0.22588254707289657,0.1827149331021226,-0.23150117477782334,0.11956124161134828,0.22337561827652005,0.043974387431800474
50,8.745,46.035,0.0393657668710544,-0.2556681357529945,0.7270633742981263,0.27199828858780806,0.17835768716363132,-0.23944295713355412,0.14703854292313673,0.2539527635148865,-0.07949650991117059
51,8.745,46.101,0.0136479397283564,-0.26342027129912937,0.7286488053881196,0.24724662487059063,0.17895747002308682,-0.2457943487387085,0.13945965949704114,0.250332659366304,-0.0955322239042076
52,8.811,45.045,0.5586912039133359,0.31793939146718314,-0.5780442662680682,1.1737725882718486,-0.9173581019547407,-1.074350384845871,0.06652801283808706,0.20226732609360204,-0.3622193082948705
53,8.811,45.111,0.5734863857440501,0.3210507170842572,-0.6098894798929521,1.1653362100572193,-0.8869768257048184,-1.0718489530041349,-0.19172284010287666,0.08972224192905955,-0.21723130427137882
54,8.811,45.177,0.5845579448388982,0.31208951672524216,-0.6385845607444326,1.1426709116728402,-0.8578912844731956,-1.0408756564563029,-0.22999231665123132,-0.06438066578997334,-0.05703444106808128
55,8.811,45.243,0.6646892604294768,0.3071996967923941,-0.6732007652793472,1.1964948675632943,-0.8217621233624727,-0.9609002407706221,-0.23406326896487725,-0.03817438964011266,0.004800209572196509
56,8.811,45.309,0.734908122829057,0.315302901898901,-0.6438664248996607,0.5303602661314741,-0.8128341346417671,-0.46921855342487806,-0.308583703294283,0.2922043145718287,0.08526208496062757
57,8.811,45.375,0.8053567747460688,0.3067467146077687,-0.5073886249914425,0.3144835089655378,-0.7589549044341586,0.10641415584964425,-0.36726966911754794,0.3856810349507442,0.1394994201286054
58,8.811,45.441,0.8231333398382563,0.22652029241752691,-0.24494136909612213,0.2361359068011104,-0.48691461478086745,0.1123870943003567,-0.04502203423417443,0.7863262335164245,0.09309644860440217
59,8.811,45.507,0.82248915592728,0.11914198396623653,-0.07013116185818366,0.217989531898945,-0.23837656043399436,0.10052558736073502,0.05834387185602067,0.3300733830552167,0.07627268031959218
60,8.811,45.573,0.816111872933218,0.03805956818713499,0.4449709430243373,0.20923687960858067,-0.05027760236191864,0.09667842205812899,-0.035723660344218464,0.06338951292070494,0.07164698795157846
61,8.811,45.639,0.7531556689956288,-0.020849717488897284,0.4548850434061856,0.21863278385905177,0.00567584158563223,0.09787100054416317,0.014779035445497898,0.02154917907226874,0.0743109142827012
62,8.811,45.705,0.6569060293436045,-0.06839992457441965,0.4990544998632266,0.21968480019668385,0.1834331847614433,0.09963167420876227,-0.004971132413966239,0.036197108394384905,0.07819467104340683
63,8.811,45.771,0.5448170935291361,-0.11420839605933564,0.5424482517695199,0.23460332784110544,0.2810512404430787,0.09975376001948151,-0.0675001728689531,0.023217907458300265,0.0820635630656332
64,8.811,45.837,0.4189210921201402,-0.1617299632731941,0.6160374300130029,0.26687728183567244,0.2512689973395607,0.08976826486597049,-0.10390519395989382,0.032796274174201265,0.09107028374721501
65,8.811,45.903,0.2476110095821017,-0.2175459840714617,0.7103523328263026,0.26445353623961654,0.18578592088330081,-0.21521122072786114,-0.0465578267001538,0.11772049527096232,0.08548218144957018
66,8.811,45.969,0.1342992493738551,-0.2579121514534435,0.7466241219511704,0.27146593113009326,0.17976879864539755,-0.24157786848930746,0.0025486491064972035,0.16821555452062276,0.057892917960948954
67,8.811,46.035,0.0544994774823144,-0.2794093066110282,0.7499935950878424,0.24628450644988326,0.1757419654850499,-0.24199093968438395,0.0741300254098953,0.21973068780169702,-0.11270641445496822
68,8.811,46.101,0.0197747855621628,-0.2881030736955644,0.7504526265269185,0.276708828306961,0.16780282037932504,-0.24038914009584053,0.098248039935845,0.23484648608567552,-0.11100452815078306
69,8.877,44.979,0.5136005186639092,0.23531948261773358,-0.3753930885557907,0.5458820349937672,-0.706288032714858,-0.3291962162041948,0.0398256535098189,0.8012133857719823,-0.3827402968173064
70,8.877,45.045,0.5527776510940332,0.27039342882876727,-0.39751816922354655,0.9407953494246212,-0.7986702507803023,-0.7625520890981484,0.045471168817801166,0.3532745072359711,-0.38259328585911545
71,8.877,45.111,0.5896891460288631,0.28627160866346185,-0.4372739198446087,0.9707861623389271,-0.78825919955936,-0.8811144585741766,0.03712669740636133,0.026585928964334232,-0.33612161418875797
72,8.877,45.177,0.6285178136026678,0.2790519366075904,-0.4646385033539349,0.9035734056905471,-0.7769229088062507,-0.7622195039113827,-0.17013920396562765,0.09159816852902479,-0.1250450109874825
73,8.877,45.243,0.6930085621045792,0.27501893034934394,-0.47042406934703607,0.9076007267546393,-0.7352717125665059,-0.5907453989538427,-0.21461399528808628,0.38620190080967703,0.003726076656247773
74,8.877,45.309,0.7844243572487768,0.2803425109787975,-0.35691249492775046,0.5851413156172603,-0.7077766596305282,-0.17550774681360604,-0.32257438351848267,0.8489380183763309,0.10246587958250486
75,8.877,45.375,0.8796695906927601,0.26244574047867053,-0.1199225684781662,0.3461920594520085,-0.5732549191614782,0.13139194223909167,-0.4112081300486282,0.8256459928320742,0.11566765781679902
76,8.877,45.441,0.8956731878626183,0.19367753193011594,-0.03211026886692439,0.24427947880284845,-0.3061124494477511,0.1218468786912717,-0.04454198751616867,0.7073882427827276,0.08667133527112476
77,8.877,45.507,0.8989209724042807,0.09929153668556427,0.040806015260179365,0.2335065514439877,-0.1594156371175235,0.11145751383501953,0.02628368901595584,0.574779424129969,0.07401808323118114
78,8.877,45.573,0.8683902093991518,0.020654666433706517,0.3818389419181437,0.22308339867364793,-0.032796761547235855,0.10905850934818456,-0.04720345468026857,0.025019326674026707,0.07301668994500947
79,8.877,45.639,0.8172373803426529,-0.03813872822789588,0.44695760260267925,0.23786745359807604,-0.02980260002356356,0.11024635763321904,-0.022641454039040266,-0.0449244919050348,0.0779011417843352
80,8.877,45.705,0.679054041942193,-0.0935729950671905,0.5390793262430718,0.23654580068588948,0.01464126086767234,0.11062386298187887,-0.052361197599290435,-0.004111030258734853,0.08217048662334675
81,8.877,45.771,0.5598275128009431,-0.14781389990339,0.6293757259206141,0.2453291682598174,0.1679206000187726,0.11095223803968703,-0.14760425113030312,-0.0016770280992418514,0.08665658076318053
82,8.877,45.837,0.4483025023343755,-0.20915835439433667,0.7286663920057699,0.2611855661584706,0.18976829002824222,0.10657789867416562,-0.21798576856289098,0.007119976741796021,0.08818775483908854
83,8.877,45.903,0.2558516370986639,-0.26886984367597283,0.8099637649712321,0.24977039122349579,0.14739788821076577,-0.19045110118535657,-0.19269784720069877,0.06403155587580928,0.07496216103416657
84,8.877,45.969,0.1443152094654807,-0.3020651956521327,0.8215733810922741,0.24761248754469786,0.15895925016892198,-0.24142761569284032,-0.164504079034074,0.0902791955334275,0.018163200239844825
85,8.877,46.035,0.0627720602372061,-0.3098328773202232,0.7826836861255511,0.29524924647024775,0.16252154613784997,-0.23765538914306622,0.00966402350404544,0.19298148107663338,-0.12541107316054148
86,8.877,46.101,0.0263805620393457,-0.3128373545978088,0.7672762302657468,0.2936081600961625,0.16069921144377602,-0.23521097381477285,0.06816589318519906,0.22353744031344,-0.14185015205431142
87,8.943,44.913,0.3031674997443321,0.19096674034932948,-0.2501099535572655,0.32702261444229175,-0.6172050322834717,-0.15655416055071175,0.052246162161938774,0.8177369432873934,-0.3715075208717421
88,8.943,44.979,0.4590287869765564,0.2008536972489751,-0.2656133211597991,0.37843191564880224,-0.6206783782115255,-0.19639949728590964,0.04944033638604187,0.8182275845597162,-0.3720380859974556
89,8.943,45.045,0.540319574982859,0.2166955046712034,-0.25177131156482946,0.6971730077363125,-0.6325072130841731,-0.3568190902618702,0.04714234170815319,0.8439692782251836,-0.3711319472326579
90,8.943,45.111,0.5944173892854865,0.22781979043775716,-0.25096558077104136,0.6976801392192181,-0.6279971676407698,-0.45240316955853493,0.03255431803626639,0.9548393634282446,-0.36095123271275886
91,8.943,45.177,0.6589737269772142,0.23309318719082,-0.22968523882125946,0.6147611371859685,-0.6404223181543478,-0.4700511229567196,-0.05013102050558238,0.352191648074256,-0.203228349007685
92,8.943,45.243,0.7351979342840266,0.23072664055575368,-0.1610601003394985,0.5450500996442169,-0.564360790656211,-0.39832685983098914,-0.2103882716122972,0.657886559212524,0.013483458847398905
93,8.943,45.309,0.8018959020808999,0.2264684376439078,0.0006085300423164337,0.30289345535264556,-0.44244666659313986,-0.10998228300388609,-0.3014813395172677,0.782422051555424,0.10307998292259585
94,8.943,45.375,0.8932783742845769,0.19916648410667037,0.1376488322506808,0.29475689964916413,-0.3085636762064359,0.13535033571024357,-0.2774065199348672,0.7951743742585785,0.09190345346691565
95,8.943,45.441,0.9534851345564278,0.13538175353315873,0.1096613326338142,0.25934149856960137,-0.1638201066808086,0.13505974978469104,0.007107358956837254,0.7123074148094753,0.08257425053620424
96,8.943,45.507,0.9590032089478294,0.059838694711411164,0.15025775063725294,0.2562760431251128,-0.09509533679141971,0.13032645849968888,0.025161319146113244,0.6012359584118843,0.07918364696958052
97,8.943,45.573,0.9303194464231452,-0.006273524758933331,0.4300173968802,0.24533700012305978,-0.012359951093035101,0.1281865877951715,-0.029662427746597046,0.025223888061962046,0.0799753734247195
98,8.943,45.639,0.8664594268558052,-0.06135890670164862,0.49313150573692216,0.2578117121436103,-0.018050628127998312,0.12929421290059712,0.01436813936675313,-0.08103212003584313,0.08649448885494254
99,8.943,45.705,0.6954659580666959,-0.11725635641802254,0.6243019776197345,0.2597167064944759,-0.0011197865597008458,0.13315436225033025,-0.08796686231989087,-0.058033470028140625,0.0949036329768692
100,8.943,45.771,0.6041988832530312,-0.18726364928189027,0.7716213282378859,0.2750564397723254,0.0414814814583116,0.1330349460798855,-0.3666928954776979,-0.09402977474062704,0.09534766601935077
101,8.943,45.837,0.4662113412241774,-0.2671311791938619,0.9174825203233387,0.2736253278181075,0.06940881869631307,0.10716975049616095,-0.4360083415529848,-0.06766773814423915,0.0867802155248385
102,8.943,45.903,0.2490632134879871,-0.3421005105731362,0.9789880310556722,0.25670134998067773,0.04595331401649248,-0.14883890955342188,-0.43715932134774244,-0.04406474979319485,0.038188922337286164
103,8.943,45.969,0.1344756714794564,-0.39204786084753573,0.9800331034154377,0.414770804369746,0.06707183592809218,-0.22487133859984548,-0.46573646284077863,-0.05672471435800313,-0.18078714588448552
104,9.009,44.913,0.25259478620715,0.17504457478982793,-0.1265621215179491,-0.1379556119940393,-0.6173843934935274,0.42259383188817545,0.06326483623402851,0.83372805094308,-0.36226788398476284
105,9.009,44.979,0.3994978985947197,0.17221339788411147,-0.0894773597404955,0.31531443638518347,-0.5636150053592862,0.16993901926444077,0.06073634629182567,0.8226574312670893,-0.3572691069237188
106,9.009,45.045,0.5180807677144812,0.16363325419329988,-0.07528903492794695,0.6088145149527191,-0.4961092870079904,-0.19104818709101803,0.0508534285858953,0.8524845325421482,-0.3539343437923093
107,9.009,45.111,0.5944772179591273,0.16249154425081683,-0.06000402263550022,0.583530807493615,-0.4591501371389064,-0.3548239864081021,0.03498737776172528,0.9262814904255521,-0.34398065051722493
108,9.009,45.177,0.6790880977319855,0.17012945753886574,0.021126415398555802,0.4798867853289314,-0.44811305154628966,-0.38243433603019283,0.0007239093539045826,0.7650852915532715,-0.20876498475516556
109,9.009,45.243,0.75769711915034,0.17096913436042682,0.15983610709739737,0.37498705684116146,-0.36544355935271566,-0.30691856638867226,-0.3040631781541048,0.594956309236893,0.01196141382843896
110,9.009,45.309,0.8279034105332126,0.15921871776368052,0.2936272481190447,0.2725972752358123,-0.2735199848398945,0.09106546088057527,-0.38947188443759195,0.8550395330040108,0.08221935838330316
111,9.009,45.375,0.9027661506778002,0.12322268004287161,0.3131152323369931,0.28622107289718624,-0.1773678891805116,0.14204043839675878,-0.3423802907686707,0.8569113337194048,0.08055179347602354
112,9.009,45.441,0.9636626331723644,0.06237348061938115,0.24513754142070215,0.2713807101565139,-0.07077940800444377,0.14116068716400837,0.023255799178696,0.7321912983627343,0.07696108357963294
113,9.009,45.507,0.9884447820764446,0.0027094080964825008,0.35799375418354873,0.2777726290722367,-0.027900816593034172,0.14214306031509624,0.040435453787855846,0.3025585087200316,0.08097370109515634
